branch_predictor,prefetcher,workload,TPRAC,TPRAC-TREFper4tREFI,TPRAC-TREFpertREFI
hashed_perceptron,va_ampm_lite,436.cactusADM,0.9618429654020288,0.9757644723143597,1.0
hashed_perceptron,va_ampm_lite,437.leslie3d,0.9483232545354591,0.9602345611141652,1.0
hashed_perceptron,va_ampm_lite,444.namd,0.9980520030490387,0.9986448716862878,1.0
hashed_perceptron,va_ampm_lite,445.gobmk,0.9993378214325129,0.9993378214325127,1.0
hashed_perceptron,va_ampm_lite,447.dealII,0.9989621172807474,0.9990659055526725,1.0
hashed_perceptron,va_ampm_lite,450.soplex,0.9474595842956121,0.9628560431100845,1.0
hashed_perceptron,va_ampm_lite,453.povray,0.9997512437810947,1.0,1.0
hashed_perceptron,va_ampm_lite,454.calculix,0.9997308692921862,0.9998205795281241,1.0
hashed_perceptron,va_ampm_lite,456.hmmer,0.998237219843868,0.998237219843868,1.0
hashed_perceptron,va_ampm_lite,458.sjeng,0.9788968824940049,0.9849720223820942,1.0
hashed_perceptron,va_ampm_lite,459.GemsFDTD,0.9675514682829973,0.9754937820043892,1.0
hashed_perceptron,va_ampm_lite,462.libquantum,,0.9503415659485024,1.0
hashed_perceptron,va_ampm_lite,464.h264ref,0.9914282112693811,0.9945796041850499,1.0
hashed_perceptron,va_ampm_lite,465.tonto,0.9973724545653601,0.9982483030435733,1.0
hashed_perceptron,va_ampm_lite,470.lbm,0.9351117039013005,0.951783927975992,1.0
hashed_perceptron,va_ampm_lite,471.omnetpp,0.9591132489804456,0.9697793579420685,1.0
hashed_perceptron,va_ampm_lite,473.astar,0.9734933403666095,0.9807464064354477,1.0
hashed_perceptron,va_ampm_lite,481.wrf,0.9919278252611586,0.9943019943019943,1.0
hashed_perceptron,va_ampm_lite,482.sphinx3,0.9507624226914054,0.9707293666026872,1.0
hashed_perceptron,va_ampm_lite,483.xalancbmk,0.9515675046103077,0.9640881296709696,1.0
hashed_perceptron,va_ampm_lite,600.perlbench,0.9978686694407793,0.9987820968233023,1.0
hashed_perceptron,va_ampm_lite,602.gcc,0.9798657718120806,0.9837627192032907,1.0
hashed_perceptron,va_ampm_lite,603.bwaves,0.99911715370354,0.9997351461110618,1.0
hashed_perceptron,va_ampm_lite,605.mcf,0.9658575620165376,0.9754601226993865,1.0
hashed_perceptron,va_ampm_lite,607.cactuBSSN,0.9609553624819727,0.9607443103872804,1.0
hashed_perceptron,va_ampm_lite,619.lbm,0.9356338139131802,0.951075395887497,1.0
hashed_perceptron,va_ampm_lite,620.omnetpp,0.962959275116997,0.972319028178831,1.0
hashed_perceptron,va_ampm_lite,621.wrf,1.0,1.0,1.0
hashed_perceptron,va_ampm_lite,623.xalancbmk,0.9892371601208458,0.9922583081570996,1.0
hashed_perceptron,va_ampm_lite,625.x264,0.9911533154776396,0.9935881827773719,1.0
hashed_perceptron,va_ampm_lite,627.cam4,0.9711036539895598,0.9837807606263981,1.0
hashed_perceptron,va_ampm_lite,628.pop2,0.9387235397103295,0.9597326118096451,1.0
hashed_perceptron,va_ampm_lite,631.deepsjeng,0.9730788056779247,0.9804209495839453,1.0
hashed_perceptron,va_ampm_lite,638.imagick,0.99817398290848,0.998539186326784,1.0
hashed_perceptron,va_ampm_lite,641.leela,0.9994275901545506,0.9995706926159131,1.0
hashed_perceptron,va_ampm_lite,644.nab,0.999708850931677,0.9971855590062112,1.0
hashed_perceptron,va_ampm_lite,648.exchange2,1.0,1.0,1.0
hashed_perceptron,va_ampm_lite,649.fotonik3d,0.943273158518909,0.9578995915140336,1.0
hashed_perceptron,va_ampm_lite,654.roms,0.9638373797234436,0.9733320588797554,1.0
hashed_perceptron,va_ampm_lite,657.xz,0.9680895151263985,0.9776212184003314,1.0
hashed_perceptron,va_ampm_lite,cassandra,,0.968309576658733,1.0
hashed_perceptron,va_ampm_lite,classification,0.9464194342243123,0.9619892302819132,1.0
hashed_perceptron,va_ampm_lite,cloud9,0.9359424359424358,0.9527904527904527,1.0
hashed_perceptron,va_ampm_lite,nutch,0.9441271160037388,0.9601897047114619,1.0
hashed_perceptron,spp_dev,SPEC2K6 (26),0.9706274803625055,0.9799094779932085,1.0
hashed_perceptron,spp_dev,SPEC2K17 (20),0.9706252934923323,0.9788716494056854,1.0
hashed_perceptron,spp_dev,CloudSuite (4),0.9427211039516451,0.9634487084450019,1.0
hashed_perceptron,next_line,SPEC2K6 (26),0.9795252524169633,0.9854621520765324,1.0
hashed_perceptron,next_line,SPEC2K17 (20),0.9769135267884886,0.9824366270549847,1.0
hashed_perceptron,next_line,CloudSuite (4),0.9482149217743924,1.0,1.0
hashed_perceptron,no,SPEC2K6 (26),0.9752810359449107,0.9819270500126996,1.0
hashed_perceptron,no,SPEC2K17 (20),0.9744635333832116,0.9815084482162757,1.0
hashed_perceptron,no,CloudSuite (4),0.9484933986371379,0.9570911413969335,1.0
hashed_perceptron,va_ampm_lite,SPEC2K6 (26),0.9771581146460978,0.9836582515015239,1.0
hashed_perceptron,va_ampm_lite,SPEC2K17 (20),0.9766711252136574,0.982662279049103,1.0
hashed_perceptron,va_ampm_lite,CloudSuite (4),1.0,0.968309576658733,1.0
hashed_perceptron,spp_dev,All (50),0.9658712887534846,0.9756814884557512,1.0
hashed_perceptron,next_line,All (50),0.9748858039798565,0.9828255983965968,1.0
hashed_perceptron,no,All (50),0.9718612915849867,0.9780323118571338,1.0
hashed_perceptron,va_ampm_lite,All (50),0.9750944346385924,0.9798116908878562,1.0
