mitigation,workload,branch_predictor,prefetcher,WS,MPKI,RBMPKI,NRH,Prac Level,Total Energy,Mitigation Energy,ME Percentage
ABO_Only,641.leela,hashed_perceptron,spp_dev,6.984,0.04598838030340694,0.04625210667846861,2048.0,1.0,16108281.259174999,0.0,0.0
ABO_Only,481.wrf,hashed_perceptron,spp_dev,8.532,1.5325584918259065,1.451899228817559,4096.0,1.0,14862527.368600002,0.0,0.0
ABO_Only,403.gcc,hashed_perceptron,spp_dev,8.915000000000001,0.5779668873261916,0.44726429521111544,128.0,1.0,14060565.770712012,6984.337537013761,0.049673232577611144
ABO_Only,483.xalancbmk,hashed_perceptron,spp_dev,1.0214,48.31087206883674,21.84467350974397,1024.0,4.0,140973861.38355,0.0,0.0
ABO_Only,cloud9,hashed_perceptron,spp_dev,0.5485,104.47846185371597,137.78303708404275,1024.0,2.0,223536230.5638392,87581.3754641408,0.039179946464709056
ABO_Only,625.x264,hashed_perceptron,spp_dev,12.193000000000001,1.0010386058428962,0.48865744314081644,4096.0,1.0,10353241.397475,0.0,0.0
ABO_Only,450.soplex,hashed_perceptron,spp_dev,0.9596,68.95427053551944,44.911212542204936,256.0,1.0,105791515.16624257,12749.1875675648,0.012051238275140036
ABO_Only,444.namd,hashed_perceptron,spp_dev,11.618,0.3976908085889361,0.17031872491558986,4096.0,1.0,10706961.679075,0.0,0.0
ABO_Only,641.leela,hashed_perceptron,spp_dev,6.984,0.04598838030340694,0.04625210667846861,256.0,1.0,16108281.259174999,0.0,0.0
ABO_Only,654.roms,hashed_perceptron,spp_dev,1.3397999999999999,58.18569038913935,20.587013338323178,4096.0,1.0,61261784.00850001,0.0,0.0
ABO_Only,436.cactusADM,hashed_perceptron,spp_dev,3.8712999999999997,17.842456641920602,12.056114020897867,256.0,1.0,50307648.426825,0.0,0.0
ABO_Only,445.gobmk,hashed_perceptron,spp_dev,9.053999999999998,0.018027462698769724,0.07226230819486054,128.0,1.0,12987230.8979,0.0,0.0
ABO_Only,429.mcf,hashed_perceptron,spp_dev,1.4039,61.3860969835691,39.81284743775349,1024.0,2.0,75701092.981525,0.0,0.0
ABO_Only,470.lbm,hashed_perceptron,spp_dev,1.5866,56.812560615004955,47.98992431467207,2048.0,1.0,73515807.11232501,0.0,0.0
ABO_Only,648.exchange2,hashed_perceptron,spp_dev,12.038,0.0004099739302702415,0.0081444821025637,1024.0,1.0,10067997.6507,0.0,0.0
ABO_Only,471.omnetpp,hashed_perceptron,spp_dev,0.9455,46.41968571405668,34.42839687807381,2048.0,1.0,83566697.98590001,0.0,0.0
ABO_Only,453.povray,hashed_perceptron,spp_dev,8.038,0.012814543930381518,0.019596802549797253,1024.0,2.0,14215507.895375,0.0,0.0
ABO_Only,464.h264ref,hashed_perceptron,spp_dev,7.6739999999999995,1.8944859780117862,0.9332301853514824,1024.0,4.0,16263982.842725001,0.0,0.0
ABO_Only,453.povray,hashed_perceptron,spp_dev,8.038,0.012814543930381518,0.019596802549797253,256.0,1.0,14215507.895375,0.0,0.0
ABO_Only,454.calculix,hashed_perceptron,spp_dev,11.137,0.021755981704426802,0.015703904063795147,128.0,1.0,10711217.341525001,0.0,0.0
ABO_Only,483.xalancbmk,hashed_perceptron,spp_dev,1.0214,48.31087206883674,21.84467350974397,2048.0,1.0,140973861.38355,0.0,0.0
ABO_Only,657.xz,hashed_perceptron,spp_dev,4.881,3.6532033464152613,3.535136011143653,1024.0,4.0,27089132.294524997,0.0,0.0
ABO_Only,620.omnetpp,hashed_perceptron,spp_dev,0.9970000000000001,33.101229890682426,27.094031331009212,128.0,1.0,72968739.39044087,2993.2875158630404,0.004102150511120342
ABO_Only,621.wrf,hashed_perceptron,spp_dev,5.684,0.12875538149017,0.051898622978243686,1024.0,1.0,19480208.642475,0.0,0.0
ABO_Only,648.exchange2,hashed_perceptron,spp_dev,12.038,0.0004099739302702415,0.0081444821025637,4096.0,1.0,10067997.6507,0.0,0.0
ABO_Only,641.leela,hashed_perceptron,spp_dev,6.984,0.04598838030340694,0.04625210667846861,128.0,1.0,16108281.259174999,0.0,0.0
