workload,NRH,Prac Level,TPRAC,TPRAC-TREFpertREFI,TPRAC-TREFper4tREFI,TPRAC-NoReset,TPRAC-NoReset-TREFpertREFI,TPRAC-NoReset-TREFper4tREFI
437.leslie3d,512.0,1.0,0.8633257403189066,0.9245444191343963,0.8745728929384966,0.8263097949886105,0.8935079726651479,0.8470956719817767
437.leslie3d,1024.0,1.0,0.9333712984054668,1.0,0.945757403189066,0.9068906605922551,1.0,0.9240461275626424
437.leslie3d,2048.0,1.0,0.9654043280182233,1.0,0.9838411161731206,0.9520216400911161,1.0,0.9694618451025058
437.leslie3d,4096.0,1.0,0.9874715261958997,1.0,1.0,0.9793564920273348,1.0,1.0
444.namd,128.0,1.0,0.9622998794973316,0.9776209330349458,0.9734894129798588,0.9634188328455844,0.9713375796178344,0.9652263728696849
444.namd,256.0,1.0,0.9829574797727665,0.9850232398003099,0.9839042864520571,0.9775348597004647,0.9833017731106902,0.9777930797039078
444.namd,512.0,1.0,0.9925976932346359,0.996040626613875,0.992253399896712,0.9912205198829402,0.9930280599070408,0.9915648132208641
444.namd,1024.0,1.0,0.9964709932862799,1.0,0.9970735066276468,0.9898433465312446,1.0,0.9944052332587363
444.namd,2048.0,1.0,0.9985367533138234,1.0,0.9986228266483044,0.9948355999311412,1.0,0.9979342399724564
444.namd,4096.0,1.0,0.9983646066448614,1.0,1.0,0.9989671199862282,1.0,1.0
445.gobmk,128.0,1.0,0.9953611663353216,0.99679699580296,0.9956925115970844,0.9949193726529711,0.9958029600176719,0.9950298210735589
445.gobmk,256.0,1.0,0.9970178926441354,0.9977910315882483,0.9974596863264857,0.9966865473823725,0.9975701347470732,0.9970178926441353
445.gobmk,512.0,1.0,0.9985641705323616,0.9993373094764747,0.9984537221117739,0.9981223768500112,0.9988955157941244,0.9983432736911864
445.gobmk,1024.0,1.0,0.9992268610558871,1.0,0.9995582063176499,0.9992268610558871,1.0,0.9993373094764747
445.gobmk,2048.0,1.0,1.0,1.0,0.9998895515794125,0.9996686547382374,1.0,0.9998895515794125
445.gobmk,4096.0,1.0,0.9998895515794125,1.0,1.0,0.9998895515794125,1.0,1.0
447.dealII,128.0,1.0,0.990445529130751,0.9938726762903727,0.9915879115172915,0.9902378232422889,0.9913802056288296,0.989822411465365
447.dealII,256.0,1.0,0.9954304704538374,0.9970921175615328,0.9953266175096064,0.9943919410115276,0.9964689998961471,0.9967805587288399
447.dealII,512.0,1.0,0.9975075293384569,0.9989614705576904,0.9978190881711497,0.9977152352269186,0.9986499117249974,0.9991691764461521
447.dealII,1024.0,1.0,0.9989614705576904,1.0,0.9995845882230762,0.9986499117249974,1.0,0.9992730293903832
447.dealII,2048.0,1.0,0.9991691764461523,1.0,0.9994807352788453,0.9993768823346143,1.0,0.9998961470557691
447.dealII,4096.0,1.0,1.000207705888462,1.0,1.0,0.9998961470557691,1.0,1.0
450.soplex,128.0,1.0,0.6396633884213728,0.7122579336915744,0.666531481293724,0.5967758288553179,0.6615634188380817,0.5758896887356788
450.soplex,256.0,1.0,0.7828246983676366,0.8432525600730001,0.8060427861705364,0.7282774003852783,0.7944844367839399,0.772483017337524
450.soplex,512.0,1.0,0.8940484639561999,0.9551860488695122,0.9127040454222852,0.885835952549934,0.921524891006793,0.8929331846294231
450.soplex,1024.0,1.0,0.9211193348879652,1.0,0.9684680117611274,0.9395721382946365,1.0,0.9567068843151171
450.soplex,2048.0,1.0,0.98519720166278,1.0,0.971104126533509,0.9750582986920815,1.0,0.9834735881577612
450.soplex,4096.0,1.0,0.9976680523167394,1.0,1.0,0.9950319375443576,1.0,1.0
453.povray,128.0,1.0,0.9977606369743717,0.998258273202289,0.997885046031351,0.9972630007464544,0.9978850460313512,0.9975118188604128
453.povray,256.0,1.0,0.9983826822592685,0.9988803184871858,0.9985070913162478,0.998258273202289,0.9987559094302065,0.9985070913162478
453.povray,512.0,1.0,0.9992535456581239,0.9992535456581239,0.9992535456581239,0.9992535456581239,0.9992535456581239,0.9992535456581239
