workload,NRH,Prac Level,ABO_Only,ABO_RFM,TPRAC,TPRAC-TREFpertREFI,TPRAC-TREFper2tREFI,TPRAC-TREFper4tREFI
445.gobmk,2048.0,1.0,1.0,1.0001104484205878,1.0,1.0,1.0,0.9998895515794125
445.gobmk,4096.0,1.0,1.0,1.0,0.9998895515794125,1.0,1.0,1.0
447.dealII,128.0,1.0,1.0,0.9980267940596116,0.990445529130751,0.9938726762903727,0.993041852736525,0.9915879115172915
447.dealII,256.0,1.0,1.0,0.9995845882230762,0.9954304704538374,0.9970921175615328,0.9962612940076851,0.9953266175096064
447.dealII,512.0,1.0,1.0,0.9989614705576904,0.9975075293384569,0.9989614705576904,0.9984422058365356,0.9978190881711497
447.dealII,1024.0,1.0,1.0,1.000103852944231,0.9989614705576904,1.0,0.9997922941115381,0.9995845882230762
447.dealII,2048.0,1.0,1.0,0.999792294111538,0.9991691764461523,1.0,1.0,0.9994807352788453
447.dealII,4096.0,1.0,1.0,1.0,1.000207705888462,1.0,1.0,1.0
450.soplex,128.0,1.0,1.006793064990368,0.829565041062557,0.6396633884213728,0.7122579336915744,0.6817398357497718,0.666531481293724
450.soplex,256.0,1.0,0.9986819426138092,0.9299401804724728,0.7828246983676366,0.8432525600730001,0.7966136064077867,0.8060427861705364
450.soplex,512.0,1.0,0.9984791645543951,0.9815471965933285,0.8940484639561999,0.9551860488695122,0.9193957213829463,0.9127040454222852
450.soplex,1024.0,1.0,1.0,0.9934097130690459,0.9211193348879652,1.0,0.9864138700192638,0.9684680117611274
450.soplex,2048.0,1.0,1.0,1.0095305687924567,0.98519720166278,1.0,1.0,0.971104126533509
450.soplex,4096.0,1.0,1.0,1.0207847510899322,0.9976680523167394,1.0,1.0,1.0
453.povray,128.0,1.0,1.0,0.9997511818860412,0.9977606369743717,0.998258273202289,0.997885046031351,0.997885046031351
453.povray,256.0,1.0,1.0,0.9998755909430207,0.9983826822592685,0.9988803184871858,0.9987559094302065,0.9985070913162478
453.povray,512.0,1.0,1.0,0.9998755909430205,0.9992535456581239,0.9992535456581239,0.9992535456581239,0.9992535456581239
453.povray,1024.0,1.0,1.0,0.9998755909430205,0.9997511818860412,1.0,0.9997511818860412,0.9997511818860412
453.povray,2048.0,1.0,1.0,1.0,0.9998755909430205,1.0,1.0,0.9998755909430207
453.povray,4096.0,1.0,1.0,1.0,0.9998755909430207,1.0,1.0,1.0
454.calculix,128.0,1.0,1.0,0.999640836850139,0.9954206698392744,0.9963185777139265,0.9959594145640658,0.9956900422016701
454.calculix,256.0,1.0,1.0,0.9997306276376043,0.9972164855885787,0.9979348118883002,0.9974858579509742,0.9974858579509743
454.calculix,512.0,1.0,1.0,0.9999102092125347,0.9988327197629523,0.9991918829128131,0.999102092125348,0.9989225105504177
454.calculix,1024.0,1.0,1.0,1.0,0.9995510460626739,1.0,0.9999102092125347,0.9995510460626739
454.calculix,2048.0,1.0,1.0,1.0,0.9995510460626739,1.0,1.0,0.999640836850139
454.calculix,4096.0,1.0,1.0,1.0,0.9998204184250694,1.0,1.0,1.0
456.hmmer,128.0,1.0,1.0,0.9983612756838522,0.9836127568385227,0.9887810412202194,0.9857557040211774,0.9847472582881635
456.hmmer,256.0,1.0,1.0,0.9993697214168663,0.9902937098197403,0.9928148241522754,0.9907979326862474,0.990545821252994
