workload,NRH,Prac Level,ABO_Only,ABO_RFM,TPRAC
465.tonto,1024.0,2.0,1.0,1.0001098659635244,0.996923753021314
465.tonto,1024.0,4.0,1.0,1.0001098659635244,0.996923753021314
470.lbm,1024.0,1.0,1.0,0.9769998736256791,0.9358650322254518
470.lbm,1024.0,2.0,1.0,0.9769998736256791,0.9358650322254518
470.lbm,1024.0,4.0,1.0,0.9769998736256791,0.9358650322254518
471.omnetpp,1024.0,1.0,0.9994598682078426,0.9928702603435239,0.9554931403262397
471.omnetpp,1024.0,2.0,0.9998919736415686,0.9928702603435239,0.9554931403262397
471.omnetpp,1024.0,4.0,0.9996759209247056,0.9928702603435239,0.9554931403262397
473.astar,1024.0,1.0,1.0,0.9977827050997782,0.970914308073562
473.astar,1024.0,2.0,1.0,0.9977827050997782,0.970914308073562
473.astar,1024.0,4.0,1.0,0.9977827050997782,0.970914308073562
481.wrf,1024.0,1.0,1.0,0.9994139709329581,0.9923816221284576
481.wrf,1024.0,2.0,1.0,0.9994139709329581,0.9923816221284576
481.wrf,1024.0,4.0,1.0,0.9994139709329581,0.9923816221284576
482.sphinx3,1024.0,1.0,1.0,0.9856168446026097,0.939996045867932
482.sphinx3,1024.0,2.0,1.0,0.9856168446026097,0.939996045867932
482.sphinx3,1024.0,4.0,1.0,0.9856168446026097,0.939996045867932
483.xalancbmk,1024.0,1.0,1.0,0.9931466614450752,0.9520266301155276
483.xalancbmk,1024.0,2.0,1.0,0.9931466614450752,0.9520266301155276
483.xalancbmk,1024.0,4.0,1.0,0.9931466614450752,0.9520266301155276
600.perlbench,1024.0,1.0,1.0,0.9997963962129695,0.9977603583426652
600.perlbench,1024.0,2.0,1.0,0.9997963962129695,0.9977603583426652
600.perlbench,1024.0,4.0,1.0,0.9997963962129695,0.9977603583426652
602.gcc,1024.0,1.0,1.0,0.9856106183712707,0.9284872542330831
602.gcc,1024.0,2.0,1.0,0.9856106183712707,0.9284872542330831
602.gcc,1024.0,4.0,1.0,0.9856106183712707,0.9284872542330831
603.bwaves,1024.0,1.0,1.0,1.0001766316347256,0.9987635785569194
603.bwaves,1024.0,2.0,1.0,1.0001766316347256,0.9987635785569194
603.bwaves,1024.0,4.0,1.0,1.0001766316347256,0.9987635785569194
605.mcf,1024.0,1.0,0.9995020540271379,1.0004979459728618,0.954188970496701
605.mcf,1024.0,2.0,0.9996265405203533,1.0004979459728618,0.954188970496701
605.mcf,1024.0,4.0,1.0,1.0004979459728618,0.954188970496701
607.cactuBSSN,1024.0,1.0,1.0,0.9859353023909986,0.9469508456850229
607.cactuBSSN,1024.0,2.0,1.0,0.9859353023909986,0.9469508456850229
607.cactuBSSN,1024.0,4.0,1.0,0.9859353023909986,0.9469508456850229
619.lbm,1024.0,1.0,1.0,0.9748731429968821,0.9378859204010516
619.lbm,1024.0,2.0,1.0,0.9748731429968821,0.9378859204010516
619.lbm,1024.0,4.0,1.0,0.9748731429968821,0.9378859204010516
620.omnetpp,1024.0,1.0,1.0,0.9935103244837756,0.9615535889872172
620.omnetpp,1024.0,2.0,1.0,0.9935103244837756,0.9615535889872172
620.omnetpp,1024.0,4.0,1.0,0.9935103244837756,0.9615535889872172
621.wrf,1024.0,1.0,1.0,1.0,0.9996481351161155
621.wrf,1024.0,2.0,1.0,1.0,0.9996481351161155
621.wrf,1024.0,4.0,1.0,1.0,0.9996481351161155
623.xalancbmk,1024.0,1.0,1.0,0.9988642816581489,0.9886428165814879
623.xalancbmk,1024.0,2.0,1.0,0.9988642816581489,0.9886428165814879
623.xalancbmk,1024.0,4.0,1.0,0.9988642816581489,0.9886428165814879
625.x264,1024.0,1.0,1.0,0.9993438858361353,0.988846059214303
625.x264,1024.0,2.0,1.0,0.9993438858361353,0.988846059214303
625.x264,1024.0,4.0,1.0,0.9993438858361353,0.988846059214303
627.cam4,1024.0,1.0,0.9981626587408808,0.9952985679546069,0.9302891110510673
627.cam4,1024.0,2.0,0.9976222642529048,0.9952985679546069,0.9302891110510673
627.cam4,1024.0,4.0,1.000270197243988,0.9952985679546069,0.9302891110510673
628.pop2,1024.0,1.0,1.0000824538258573,0.988126649076517,0.9549389841688654
628.pop2,1024.0,2.0,0.9999175461741425,0.988126649076517,0.9549389841688654
628.pop2,1024.0,4.0,0.9997526385224272,0.988126649076517,0.9549389841688654
631.deepsjeng,1024.0,1.0,1.0,0.9996726141758062,0.9731543624161074
631.deepsjeng,1024.0,2.0,1.0,0.9996726141758062,0.9731543624161074
631.deepsjeng,1024.0,4.0,1.0,0.9996726141758062,0.9731543624161074
638.imagick,1024.0,1.0,1.0,1.0001454757055572,0.9994180971777714
638.imagick,1024.0,2.0,1.0,1.0001454757055572,0.9994180971777714
638.imagick,1024.0,4.0,1.0,1.0001454757055572,0.9994180971777714
641.leela,1024.0,1.0,1.0,0.9997136311569301,0.9994272623138604
641.leela,1024.0,2.0,1.0,0.9997136311569301,0.9994272623138604
641.leela,1024.0,4.0,1.0,0.9997136311569301,0.9994272623138604
644.nab,1024.0,1.0,1.0,0.9966964632724445,0.9912553439564711
644.nab,1024.0,2.0,1.0,0.9966964632724445,0.9912553439564711
644.nab,1024.0,4.0,1.0,0.9966964632724445,0.9912553439564711
648.exchange2,1024.0,1.0,1.0,1.0,0.9999169297225453
648.exchange2,1024.0,2.0,1.0,1.0,0.9999169297225453
648.exchange2,1024.0,4.0,1.0,1.0,0.9999169297225453
649.fotonik3d,1024.0,1.0,1.0046978629329402,0.9840641120117907,0.9602063375092114
649.fotonik3d,1024.0,2.0,1.011330140014738,0.9840641120117907,0.9602063375092114
649.fotonik3d,1024.0,4.0,1.0107774502579217,0.9840641120117907,0.9602063375092114
654.roms,1024.0,1.0,1.0,0.9954648526077097,0.9562491663332
654.roms,1024.0,2.0,1.0,0.9954648526077097,0.9562491663332
654.roms,1024.0,4.0,1.0,0.9954648526077097,0.9562491663332
657.xz,1024.0,1.0,1.0,0.9928293382503585,0.9641466912517925
657.xz,1024.0,2.0,1.0,0.9928293382503585,0.9641466912517925
657.xz,1024.0,4.0,1.0,0.9928293382503585,0.9641466912517925
cassandra,1024.0,1.0,0.9973769743969891,0.974824656440668,0.9427211039516451
cassandra,1024.0,2.0,1.0023949364201399,0.974824656440668,0.9427211039516451
cassandra,1024.0,4.0,1.002566003307293,0.974824656440668,0.9427211039516451
classification,1024.0,1.0,0.9975672959966154,0.9948966100798562,0.9246126183298957
