workload,PSQ_size,QPRAC,QPRAC+1Proactive_per_4tREFI,QPRAC+1Proactive_per_2tREFI,QPRAC+1Proactive_per_1tREFI
507.cactuBSSN,1.0,0.9116440057314183,1.0,1.0,1.0
507.cactuBSSN,2.0,0.9120722621645004,1.0,1.0,1.0
507.cactuBSSN,3.0,0.9895522971861805,1.0,1.0,1.0
507.cactuBSSN,4.0,0.9914888485234701,1.0,1.0,1.0
507.cactuBSSN,5.0,0.9913964057353412,1.0,1.0,1.0
508.namd,1.0,0.9998849349768462,1.0,1.0,1.0
508.namd,2.0,0.9999035128175862,1.0,1.0,1.0
508.namd,3.0,0.9998415470817112,1.0,1.0,1.0
508.namd,4.0,0.999909076379039,1.0,1.0,1.0
508.namd,5.0,0.9998415470817112,1.0,1.0,1.0
510.parest,1.0,0.7119497176720316,0.591646490490241,1.0007365283331198,1.0
510.parest,2.0,0.9698023209683997,0.9901615574276434,1.0,1.0
510.parest,3.0,0.967468281422665,0.9919431770295739,1.0,1.0
510.parest,4.0,0.9678864730122246,0.9933626543841343,1.0,1.0
510.parest,5.0,0.9674968984813772,0.992297657059566,1.0,1.0
511.povray,1.0,1.0,1.0,1.0,1.0
511.povray,2.0,1.0,1.0,1.0,1.0
511.povray,3.0,1.0,1.0,1.0,1.0
511.povray,4.0,1.0,1.0,1.0,1.0
511.povray,5.0,1.0,1.0,1.0,1.0
519.lbm,1.0,0.6745542348726495,0.9537142790794614,0.9999753313799087,1.0
519.lbm,2.0,0.9658915549987943,0.9938497080224192,1.0,1.0
519.lbm,3.0,0.967678024428729,0.9951965546628501,1.0,1.0
519.lbm,4.0,0.968230402685595,0.9956335586363292,1.0,1.0
519.lbm,5.0,0.9690256398611807,0.9961812396138443,1.0,
520.omnetpp,1.0,0.9720511458278795,1.0,1.0,1.0
520.omnetpp,2.0,0.9858364671129901,1.0,1.0,1.0
520.omnetpp,3.0,0.9865104158688764,1.0,1.0,1.0
520.omnetpp,4.0,0.9863542607459302,1.0,1.0,1.0
520.omnetpp,5.0,0.9862846207611479,1.0,1.0,1.0
523.xalancbmk,1.0,0.9633798240657574,1.0,1.0,1.0
523.xalancbmk,2.0,0.9937179038067874,1.0,1.0,1.0
523.xalancbmk,3.0,0.9941048747840754,1.0,1.0,1.0
523.xalancbmk,4.0,0.9941232571799018,1.0,1.0,1.0
523.xalancbmk,5.0,0.9942858088310164,1.0,1.0,1.0
525.x264,1.0,,1.0,1.0,1.0
525.x264,2.0,1.0,1.0,1.0,1.0
525.x264,3.0,1.0,1.0,1.0,1.0
525.x264,4.0,1.0,1.0,1.0,1.0
525.x264,5.0,1.0,1.0,1.0,1.0
526.blender,1.0,1.0,1.0,1.0,1.0
526.blender,2.0,1.0,1.0,1.0,1.0
526.blender,3.0,1.0,1.0,1.0,1.0
526.blender,4.0,1.0,1.0,1.0,1.0
526.blender,5.0,1.0,1.0,1.0,1.0
531.deepsjeng,1.0,,1.0,1.0,1.0
531.deepsjeng,2.0,1.0,1.0,1.0,1.0
531.deepsjeng,3.0,1.0,1.0,1.0,1.0
531.deepsjeng,4.0,1.0,1.0,1.0,1.0
531.deepsjeng,5.0,1.0,1.0,1.0,1.0
538.imagick,1.0,1.0,1.0,1.0,1.0
538.imagick,2.0,1.0,1.0,1.0,1.0
538.imagick,3.0,1.0,1.0,1.0,1.0
538.imagick,4.0,1.0,1.0,1.0,1.0
538.imagick,5.0,1.0,1.0,1.0,1.0
541.leela,1.0,,1.0,1.0,1.0
541.leela,2.0,1.0,1.0,,1.0
541.leela,3.0,1.0,1.0,1.0,1.0
541.leela,4.0,1.0,1.0,1.0,1.0
541.leela,5.0,1.0,1.0,1.0,1.0
544.nab,1.0,0.9998722288098484,1.0,1.0,1.0
544.nab,2.0,0.9998722288098484,1.0,1.0,1.0
544.nab,3.0,0.9998722288098484,1.0,1.0,1.0
544.nab,4.0,0.9998722288098484,1.0,1.0,1.0
544.nab,5.0,0.9998722288098484,1.0,1.0,1.0
549.fotonik3d,1.0,0.8253315045184219,1.0,1.0,1.0
549.fotonik3d,2.0,0.9947236102221663,1.0,1.0,1.0
549.fotonik3d,3.0,0.9952968402290625,1.0,1.0,1.0
549.fotonik3d,4.0,0.9955655149661866,1.0,1.0,1.0
549.fotonik3d,5.0,0.9958341396155429,,,
557.xz,1.0,0.9931084798559054,1.0,1.0,1.0
557.xz,2.0,0.9958623494900198,1.0,1.0,1.0
557.xz,3.0,0.9961317261787828,1.0,1.0,1.0
557.xz,4.0,0.995153054157612,1.0,1.0,1.0
557.xz,5.0,0.9961215536932202,1.0,1.0,1.0
grep_map0,1.0,,1.0,1.0,1.0
grep_map0,2.0,0.9989115578649441,1.0,1.0,1.0
grep_map0,3.0,0.9993564676446333,1.0,1.0,1.0
grep_map0,4.0,0.9992777424982847,1.0,1.0,
grep_map0,5.0,0.9987461286044989,1.0,1.0,1.0
h264_encode,1.0,1.0,1.0,1.0,1.0
h264_encode,2.0,1.0,1.0,1.0,1.0
h264_encode,3.0,1.0,1.0,1.0,1.0
h264_encode,4.0,1.0,1.0,1.0,1.0
h264_encode,5.0,1.0,1.0,1.0,1.0
jp2_decode,1.0,0.8516226037862079,0.8213146915450625,1.0,1.0
jp2_decode,2.0,0.9745747582058787,0.9949697056643152,1.0,1.0
jp2_decode,3.0,0.9771847377984949,0.9947277104696257,1.0,1.0
jp2_decode,4.0,0.9778922653413712,0.9964100737952228,1.0,
jp2_decode,5.0,0.9786125792085985,0.997395963093933,1.0,1.0
jp2_encode,1.0,0.9324491091625309,0.9716533154768419,1.0,1.0
jp2_encode,2.0,0.9745230850297848,0.9953096173225895,1.0,1.0
jp2_encode,3.0,0.9685663282427015,0.995972306410274,1.0,1.0
jp2_encode,4.0,0.9717450779957757,0.9969605059847675,1.0,1.0
jp2_encode,5.0,0.9797332445876273,0.9967504976842305,1.0,1.0
tpcc64,1.0,0.9737524845931828,1.0,1.0,1.0
tpcc64,2.0,0.99798775069196,1.0,1.0,1.0
tpcc64,3.0,0.9974167118816822,1.0,1.0,1.0
tpcc64,4.0,0.9999079137245845,1.0,1.0,
tpcc64,5.0,0.9987074087882299,1.0,1.0,1.0
tpch17,1.0,0.9968629157295783,1.0,1.0,1.0
tpch17,2.0,1.0000318704258275,1.0,1.0,1.0
tpch17,3.0,1.001638302379978,1.0,1.0,1.0
tpch17,4.0,0.9935920268815948,1.0,1.0,1.0
tpch17,5.0,0.999229043005397,1.0,1.0,1.0
tpch2,1.0,0.9519975252423124,1.0,1.0,1.0
tpch2,2.0,0.9989851359170603,1.0,1.0,1.0
tpch2,3.0,0.9994769017682024,1.0,1.0,1.0
tpch2,4.0,0.9973772035040331,1.0,1.0,
tpch2,5.0,0.9937125746194349,1.0,1.0,1.0
tpch6,1.0,0.9983823689827407,1.0,1.0,1.0
tpch6,2.0,0.9983228037217251,1.0,1.0,1.0
tpch6,3.0,0.998529426519179,1.0,1.0,1.0
tpch6,4.0,0.9981452294463827,1.0,1.0,1.0
tpch6,5.0,0.9985606179812866,1.0,1.0,1.0
wc_8443,1.0,0.9990455700737181,1.0,1.0,1.0
wc_8443,2.0,0.9998321052640493,1.0,1.0,1.0
wc_8443,3.0,0.999506985327218,1.0,1.0,1.0
wc_8443,4.0,0.9996253892862209,1.0,1.0,1.0
wc_8443,5.0,0.9993935011580488,1.0,1.0,1.0
wc_map0,1.0,0.9850093234086701,1.0,1.0,1.0
wc_map0,2.0,0.999615584528789,1.0,1.0,1.0
wc_map0,3.0,0.9998808306283191,1.0,1.0,1.0
wc_map0,4.0,0.9996466152206236,1.0,1.0,1.0
wc_map0,5.0,0.9996978603203688,1.0,1.0,1.0
ycsb_abgsave,1.0,0.9098153043790211,1.0,1.0,1.0
ycsb_abgsave,2.0,0.9943929506302802,1.0,1.0,1.0
ycsb_abgsave,3.0,0.9943811847835022,1.0,1.0,1.0
ycsb_abgsave,4.0,0.9946924945476909,1.0,1.0,1.0
ycsb_abgsave,5.0,0.9946048849491007,1.0,1.0,1.0
ycsb_aserver,1.0,0.9958275965762979,1.0,1.0,1.0
ycsb_aserver,2.0,0.9977999033455224,1.0,1.0,1.0
ycsb_aserver,3.0,0.9969910101499656,1.0,1.0,1.0
ycsb_aserver,4.0,0.9974954496046663,1.0,1.0,1.0
ycsb_aserver,5.0,0.9973868538185259,1.0,1.0,1.0
ycsb_bserver,1.0,0.9991242134936649,1.0,1.0,1.0
ycsb_bserver,2.0,0.9978287097022701,1.0,1.0,1.0
ycsb_bserver,3.0,0.9982897867580758,1.0,1.0,1.0
ycsb_bserver,4.0,0.9982324755450505,1.0,1.0,1.0
ycsb_bserver,5.0,0.9971512581241672,1.0,1.0,1.0
ycsb_cserver,1.0,0.9985422670685111,1.0,1.0,1.0
ycsb_cserver,2.0,0.9989932667071729,1.0,1.0,1.0
ycsb_cserver,3.0,0.9989932667071729,1.0,1.0,1.0
ycsb_cserver,4.0,0.9989932667071729,1.0,1.0,1.0
ycsb_cserver,5.0,0.9989932667071729,1.0,1.0,1.0
ycsb_dserver,1.0,0.9993784102441813,1.0,1.0,1.0
ycsb_dserver,2.0,1.0003162172534337,1.0,1.0,1.0
ycsb_dserver,3.0,1.0003618095963789,1.0,1.0,1.0
ycsb_dserver,4.0,1.0001916841366378,1.0,1.0,1.0
ycsb_dserver,5.0,1.0003463686324048,1.0,1.0,1.0
ycsb_eserver,1.0,0.9992091447353781,1.0,1.0,1.0
ycsb_eserver,2.0,0.9991509710818126,1.0,1.0,1.0
