workload,Channel,interface,Baseline,Baseline-ClosedCap4
435.gromacs,1.0,17600.0,3.289208210484696,3.277741568930859
435.gromacs,2.0,8800.0,3.3495229398409134,3.342664604420881
435.gromacs,4.0,8800.0,3.3667674665623597,3.3613757675382234
435.gromacs,8.0,8800.0,3.3818651956472934,3.3769353089620586
435.gromacs,16.0,8800.0,3.390092499419667,3.3858454257956256
436.cactusADM,1.0,3200.0,1.9722096064357144,1.9695510676227235
436.cactusADM,1.0,6400.0,2.146638050779504,2.142427687720616
436.cactusADM,1.0,8800.0,2.1904180853602946,2.1867258342775577
436.cactusADM,1.0,12800.0,2.211223482195536,2.2071177906224873
436.cactusADM,1.0,17600.0,2.235827964182555,2.231613778818904
436.cactusADM,2.0,8800.0,2.2896401085084253,2.282401942090323
436.cactusADM,4.0,8800.0,2.377471064358555,2.3692472869666554
436.cactusADM,8.0,8800.0,2.4506545298753335,2.44461722401307
436.cactusADM,16.0,8800.0,2.493741981964969,2.4897994932112755
437.leslie3d,1.0,3200.0,1.2584269541320543,1.1897341495509193
437.leslie3d,1.0,6400.0,1.459200984327951,1.3638916139670543
437.leslie3d,1.0,8800.0,1.5119055744820094,1.4119833928726722
437.leslie3d,1.0,12800.0,1.5386920217424938,1.434581268209373
437.leslie3d,1.0,17600.0,1.5624477179605887,1.4579113418690581
437.leslie3d,2.0,8800.0,1.7612573475253102,1.6784762363097814
437.leslie3d,4.0,8800.0,1.9491660383984772,1.883531143970735
437.leslie3d,8.0,8800.0,2.0808709863364645,2.020144158294617
437.leslie3d,16.0,8800.0,2.192025655327878,2.141224981274345
444.namd,1.0,3200.0,3.9556166132225945,3.9551273950876955
444.namd,1.0,6400.0,3.9615360757795575,3.9610471497065403
444.namd,1.0,8800.0,3.9620039308625565,3.9615199740390508
444.namd,1.0,12800.0,3.9637003609654697,3.962658529521782
444.namd,1.0,17600.0,3.963788218380027,3.96231250446305
444.namd,2.0,8800.0,3.9629721993301135,3.9629721993301135
444.namd,4.0,8800.0,3.9644254268667303,3.9644254268667303
444.namd,8.0,8800.0,3.9649101253209755,3.965394910861373
444.namd,16.0,8800.0,3.9649101253209755,3.9649101253209755
445.gobmk,1.0,3200.0,3.4475782624398623,3.4486879208153662
445.gobmk,1.0,6400.0,3.486241172697901,3.486241172697901
445.gobmk,1.0,8800.0,3.5005243750508583,3.4997688787630152
445.gobmk,1.0,12800.0,3.506576738963302,3.506576738963302
