workload,Channel,interface,PRAC_WO_Mitigation-ClosedCap4,Benchmark_Types
MIX33,1.0,6400.0,0.9782674184501514,LLLL (15)
MIX33,1.0,8800.0,0.9783186340639983,LLLL (15)
MIX33,1.0,12800.0,0.9785131577501697,LLLL (15)
MIX33,1.0,17600.0,0.9781935500738476,LLLL (15)
MIX34,1.0,3200.0,0.9721907656153702,LLLL (15)
MIX34,1.0,6400.0,0.9685971723679836,LLLL (15)
MIX34,1.0,8800.0,0.9679806585291606,LLLL (15)
MIX34,1.0,12800.0,0.9670164627149669,LLLL (15)
MIX34,1.0,17600.0,0.9665373993408043,LLLL (15)
MIX35,1.0,3200.0,0.9877131628601846,LLLL (15)
MIX35,1.0,6400.0,0.9850301775279564,LLLL (15)
MIX35,1.0,8800.0,0.9855057952872317,LLLL (15)
MIX35,1.0,12800.0,0.9846394033487632,LLLL (15)
MIX35,1.0,17600.0,0.9843283937346098,LLLL (15)
MIX36,1.0,3200.0,0.9937702814695994,LLLL (15)
MIX36,1.0,6400.0,0.9929502150409989,LLLL (15)
MIX36,1.0,8800.0,0.9930177744502029,LLLL (15)
MIX36,1.0,12800.0,0.9925074477429853,LLLL (15)
MIX36,1.0,17600.0,0.9925971367935608,LLLL (15)
MIX37,1.0,3200.0,0.982663530759735,LLLL (15)
MIX37,1.0,6400.0,0.981199570030956,LLLL (15)
MIX37,1.0,8800.0,0.9811322025408563,LLLL (15)
MIX37,1.0,12800.0,0.9801479726618487,LLLL (15)
MIX37,1.0,17600.0,0.97991946123461,LLLL (15)
MIX38,1.0,3200.0,0.9674908352269833,LLLL (15)
MIX38,1.0,6400.0,0.9661852516744432,LLLL (15)
MIX38,1.0,8800.0,0.9661907140822561,LLLL (15)
MIX38,1.0,12800.0,0.9644136481831228,LLLL (15)
MIX38,1.0,17600.0,0.9634615899730752,LLLL (15)
MIX39,1.0,3200.0,0.9831274129882119,LLLL (15)
MIX39,1.0,6400.0,0.9784596804059578,LLLL (15)
MIX39,1.0,8800.0,0.9786338049541733,LLLL (15)
MIX39,1.0,12800.0,0.9764114057779559,LLLL (15)
MIX39,1.0,17600.0,0.9760511845864541,LLLL (15)
MIX4,1.0,3200.0,0.9678455479073205,HHHH (15)
MIX4,1.0,6400.0,0.8880830255616491,HHHH (15)
MIX4,1.0,8800.0,0.8660421839346356,HHHH (15)
MIX4,1.0,12800.0,0.8589660354463686,HHHH (15)
MIX4,1.0,17600.0,0.848866365093243,HHHH (15)
MIX40,1.0,3200.0,0.9626198000148118,LLLL (15)
MIX40,1.0,6400.0,0.9604131027002869,LLLL (15)
MIX40,1.0,8800.0,0.960473504831745,LLLL (15)
MIX40,1.0,12800.0,0.9594053546591117,LLLL (15)
MIX40,1.0,17600.0,0.9593054160004947,LLLL (15)
MIX41,1.0,3200.0,0.9817972781867671,LLLL (15)
MIX41,1.0,6400.0,0.9809911188664625,LLLL (15)
MIX41,1.0,8800.0,0.9852447979586552,LLLL (15)
MIX41,1.0,12800.0,0.9818529029884014,LLLL (15)
MIX41,1.0,17600.0,0.9809023672165343,LLLL (15)
MIX42,1.0,3200.0,0.9765815438002252,LLLL (15)
MIX42,1.0,6400.0,0.9748328008560933,LLLL (15)
MIX42,1.0,8800.0,0.9743406286168277,LLLL (15)
MIX42,1.0,12800.0,0.9729802172915817,LLLL (15)
MIX42,1.0,17600.0,0.9732146937956347,LLLL (15)
MIX43,1.0,3200.0,0.996881216418454,LLLL (15)
MIX43,1.0,6400.0,0.9972672852436173,LLLL (15)
MIX43,1.0,8800.0,0.9974010617031478,LLLL (15)
MIX43,1.0,12800.0,0.9973240255611117,LLLL (15)
MIX43,1.0,17600.0,0.9973152715752543,LLLL (15)
MIX44,1.0,3200.0,0.9861232100308908,LLLL (15)
MIX44,1.0,6400.0,0.9868475832666144,LLLL (15)
MIX44,1.0,8800.0,0.9861977917411118,LLLL (15)
MIX44,1.0,12800.0,0.9862873922180938,LLLL (15)
MIX44,1.0,17600.0,0.9865482763931995,LLLL (15)
MIX45,1.0,3200.0,0.9755647332637963,HHMM (15)
