workload,BAT,RFMab-Reset,RFMsb-Reset
ycsb_cserver,140.0,0.9941194354168024,0.9974914539155662
ycsb_dserver,40.0,0.9794656090439504,0.9910710121752664
ycsb_dserver,70.0,0.9907963142954336,0.9950487172439221
ycsb_dserver,100.0,0.9925818917563177,0.9975244007623145
ycsb_dserver,140.0,0.9941750922170142,0.9979009583749088
ycsb_eserver,40.0,0.9739064369971967,0.9885415738768867
ycsb_eserver,70.0,0.9863366999472116,0.9940839523506877
ycsb_eserver,100.0,0.9908037999331424,0.995013888351491
ycsb_eserver,140.0,0.9936796863060922,0.9964868603508275
SPEC2K6 (23),40.0,0.9500409286872067,0.9725334985938856
SPEC2K17 (18),40.0,0.9669704757198266,0.9822754638716469
TPC (4),40.0,0.9566467275230787,0.9780914152222311
Hadoop (3),40.0,0.9372745394179349,0.9751755883387871
MediaBench (3),40.0,0.9613434506436741,0.9837636637874132
YCSB (6),40.0,0.9751358229867003,0.9895562278598949
SPEC2K6 (23),70.0,0.9717644313168647,0.98447353452972
SPEC2K17 (18),70.0,0.9841144045182321,0.9905241208398274
TPC (4),70.0,0.9773326423712456,0.9890339143427067
Hadoop (3),70.0,0.9671819643566669,0.9857286634202473
MediaBench (3),70.0,0.9817427260565825,0.9929820072523031
YCSB (6),70.0,0.9869096531534471,0.9941281687121697
SPEC2K6 (23),100.0,0.980747162850125,0.9893368457284141
SPEC2K17 (18),100.0,0.9891798479373726,0.993554792998301
TPC (4),100.0,0.9846620788933355,0.9926617496962553
Hadoop (3),100.0,0.9780910046816593,0.9906015246510248
MediaBench (3),100.0,0.9877879799230671,0.994245210682485
YCSB (6),100.0,0.9916388224235946,0.9956273505030548
SPEC2K6 (23),140.0,0.9867405531128401,0.9928297673003674
SPEC2K17 (18),140.0,0.9923445903204867,0.9951280881088934
TPC (4),140.0,0.9881233355265882,0.9954871966671074
Hadoop (3),140.0,0.9851268586940745,0.9927914323558319
MediaBench (3),140.0,0.9920801409885494,0.9961188579462547
YCSB (6),140.0,0.9932030416822621,0.9967239515229811
All (57),40.0,0.9583093931099715,0.9786675634878036
All (57),70.0,0.9779342184443863,0.9883464777408698
All (57),100.0,0.9850791900357103,0.9919609836967318
All (57),140.0,0.98949065128628,0.9943718250478366
