workload,Channel,interface,Baseline,Baseline-ClosedCap4
464.h264ref,2.0,8000.0,3.84522433711697,3.84522433711697
464.h264ref,2.0,8800.0,3.8508243925726933,3.8508243925726933
464.h264ref,4.0,8000.0,3.851300042146317,3.851300042146317
464.h264ref,4.0,8800.0,3.8547059560911987,3.8547059560911987
464.h264ref,8.0,8000.0,3.8536090678997517,3.8540710865066528
464.h264ref,8.0,8800.0,3.85601492209909,3.85601492209909
464.h264ref,16.0,8000.0,3.8549916220238076,3.8545293826997407
464.h264ref,16.0,8800.0,3.857912228453711,3.857912228453711
470.lbm,1.0,3200.0,0.6535007995869792,0.653925615767942
470.lbm,1.0,4800.0,0.7403762515392293,0.7418543825314541
470.lbm,1.0,6400.0,0.7862071003149153,0.7877298156630472
470.lbm,1.0,8000.0,0.8117156536764072,0.8130749654513472
470.lbm,1.0,8800.0,0.8205270469369383,0.8217667721249823
470.lbm,1.0,12800.0,0.8368981951930626,0.8383614387381491
470.lbm,1.0,17600.0,0.855133854050331,0.8563027121322896
470.lbm,2.0,8000.0,0.9944051128826509,0.9984660067505289
470.lbm,2.0,8800.0,1.0004751256371651,1.004504541906462
470.lbm,4.0,8000.0,1.1617365290905204,1.1684325331576322
470.lbm,4.0,8800.0,1.1620186220223143,1.1688852400655678
470.lbm,8.0,8000.0,1.313727590408578,1.324868285305233
470.lbm,8.0,8800.0,1.3097569692777093,1.320381972454239
470.lbm,16.0,8000.0,1.457491975442706,1.469914054889566
470.lbm,16.0,8800.0,1.4519123423487807,1.464439463169882
471.omnetpp,1.0,3200.0,1.9511362246622526,1.9515219431662951
471.omnetpp,1.0,4800.0,2.13994610143466,2.1403742207149
471.omnetpp,1.0,6400.0,2.2094817451580853,2.210699255533324
471.omnetpp,1.0,8000.0,2.2531670617422344,2.2538916064134953
471.omnetpp,1.0,8800.0,2.262451058828673,2.2639737245746754
471.omnetpp,1.0,12800.0,2.2810284153410567,2.281677060922511
471.omnetpp,1.0,17600.0,2.3021382218237516,2.3037651391810026
471.omnetpp,2.0,8000.0,2.3763687759307874,2.377423268890312
471.omnetpp,2.0,8800.0,2.3835461133675637,2.3837827740391773
471.omnetpp,4.0,8000.0,2.4657179182521705,2.466629538959069
471.omnetpp,4.0,8800.0,2.4698466696474095,2.4710379918234144
471.omnetpp,8.0,8000.0,2.5405850094296607,2.540986650576055
471.omnetpp,8.0,8800.0,2.543118474291277,2.5433252037808787
471.omnetpp,16.0,8000.0,2.608966582916057,2.6094281728883724
471.omnetpp,16.0,8800.0,2.6099642012092383,2.612375500845934
