workload,Nrh,prac-level,Benchmark_Types,QPRAC-ABO-Only,QPRAC-BAT-RFM,QPRAC-TPRAC-S
MIX10,1024.0,2.0,HHHH (15),0.999966658154294,0.9899205268065605,0.9750855969684524
MIX10,1024.0,4.0,HHHH (15),1.0000259095933262,0.9899205268065605,0.9750855969684524
MIX10,2048.0,1.0,HHHH (15),1.0,0.9957391592126353,0.9883867484001052
MIX10,4096.0,1.0,HHHH (15),1.0,0.9957391592126353,0.9883867484001052
MIX11,256.0,1.0,HHHH (15),0.9984068703714976,0.816857410986815,0.7897075770992876
MIX11,512.0,1.0,HHHH (15),0.9994484655583709,0.9268583911679149,0.8956595607272418
MIX11,512.0,2.0,HHHH (15),0.9994447404022242,0.9268583911679149,0.8956595607272418
MIX11,512.0,4.0,HHHH (15),0.9996445811632682,0.9268583911679149,0.8956595607272418
MIX11,1024.0,1.0,HHHH (15),0.9997069825471165,0.9850102244322486,0.9712938734139495
MIX11,1024.0,2.0,HHHH (15),0.9997708855044178,0.9850102244322486,0.9712938734139495
MIX11,1024.0,4.0,HHHH (15),0.9996865439515809,0.9850102244322486,0.9712938734139495
MIX11,2048.0,1.0,HHHH (15),0.9999794917128194,0.9911268538076012,0.9869525837964077
MIX11,4096.0,1.0,HHHH (15),1.0,0.9911268538076012,0.9869525837964077
MIX12,256.0,1.0,HHHH (15),0.9994911291492239,0.9154103176680639,0.8542164982058243
MIX12,512.0,1.0,HHHH (15),0.9999329642050512,0.9690351382802725,0.9228219543325105
MIX12,512.0,2.0,HHHH (15),1.0000973078035962,0.9690351382802725,0.9228219543325105
MIX12,512.0,4.0,HHHH (15),0.9998155160747432,0.9690351382802725,0.9228219543325105
MIX12,1024.0,1.0,HHHH (15),0.9999870344270992,0.9893587461116446,0.9803415439758627
MIX12,1024.0,2.0,HHHH (15),1.0000501937046893,0.9893587461116446,0.9803415439758627
MIX12,1024.0,4.0,HHHH (15),0.9999428838847175,0.9893587461116446,0.9803415439758627
MIX12,2048.0,1.0,HHHH (15),1.0,0.9969826004761569,0.9891006936623674
MIX12,4096.0,1.0,HHHH (15),1.0,0.9969826004761569,0.9891006936623674
MIX13,256.0,1.0,HHHH (15),0.9998187907339601,0.8353572829467064,0.8076400997143114
MIX13,512.0,1.0,HHHH (15),1.0001253652969357,0.9388981048507347,0.9022448243390023
MIX13,512.0,2.0,HHHH (15),1.0000831530833725,0.9388981048507347,0.9022448243390023
MIX13,512.0,4.0,HHHH (15),1.0000916304032599,0.9388981048507347,0.9022448243390023
MIX13,1024.0,1.0,HHHH (15),0.9999944038533445,0.9884581401423113,0.9745658970566449
MIX13,1024.0,2.0,HHHH (15),1.0002244364547708,0.9884581401423113,0.9745658970566449
MIX13,1024.0,4.0,HHHH (15),1.0001341759313536,0.9884581401423113,0.9745658970566449
MIX13,2048.0,1.0,HHHH (15),1.0,0.9938272276427541,0.9873916632310998
MIX13,4096.0,1.0,HHHH (15),1.0,0.9938272276427541,0.9873916632310998
MIX14,256.0,1.0,HHHH (15),0.9998973314548217,0.8401829605727554,0.8011905688630577
MIX14,512.0,1.0,HHHH (15),1.0001963624416765,0.9414009205050496,0.8998290102952436
MIX14,512.0,2.0,HHHH (15),0.9999068280025871,0.9414009205050496,0.8998290102952436
MIX14,512.0,4.0,HHHH (15),0.9998766517284399,0.9414009205050496,0.8998290102952436
MIX14,1024.0,1.0,HHHH (15),0.99997788540122,0.9892567810606364,0.9754124033454553
