workload,BAT,RFMpb,RFMsb
538.imagick,70.0,1.0,0.9999383515570729
541.leela,1.0,0.9947146970691337,0.9848584665403671
541.leela,2.0,0.9973294336111519,0.9933357634105985
541.leela,5.0,0.9989149786134824,0.9975881652232185
541.leela,10.0,0.9992790112671723,0.9988902021930169
541.leela,40.0,0.9997327596335799,0.9996850136002776
541.leela,70.0,1.0000165246196455,0.9998338679095662
544.nab,1.0,0.9615292982178374,0.8950332452138307
544.nab,2.0,0.9833811476907655,0.9526977896810445
544.nab,5.0,0.9928232098505565,0.9814807744037236
544.nab,10.0,0.9961846849793676,0.9909509178030167
544.nab,40.0,0.9987006594516715,0.9979614588956193
544.nab,70.0,0.9991541383276544,0.9981012384553596
549.fotonik3d,1.0,0.31922146380350075,0.12166182875912843
549.fotonik3d,2.0,0.4480507358077591,0.21461122392406898
549.fotonik3d,5.0,0.6057867283251865,0.373455323445612
549.fotonik3d,10.0,0.712742304280459,0.5046787543450675
549.fotonik3d,40.0,0.8841340453496648,0.7545132802240847
549.fotonik3d,70.0,0.9266468531625955,0.8331567691195442
557.xz,1.0,0.4665949552611546,0.21188095942260582
557.xz,2.0,0.6069873997646157,0.3549904736175507
557.xz,5.0,0.7588059247673338,0.5615893438690874
557.xz,10.0,0.8464898524189459,0.7022929475580817
557.xz,40.0,0.9503137443438483,0.890270490288167
557.xz,70.0,0.9718146392744857,0.9331866627919252
grep_map0,1.0,0.43758832833991357,0.15825614601568302
grep_map0,2.0,0.6002450583789328,0.2863696085298116
grep_map0,5.0,0.7712981954819447,0.5037046226979195
grep_map0,10.0,0.8631715647631717,0.6620474138910433
grep_map0,40.0,0.9603860439863589,0.8744033761146456
grep_map0,70.0,0.9748454201516006,0.9213594548214264
h264_encode,1.0,0.9625577528467089,0.8815889734929457
h264_encode,2.0,0.9813209511327375,0.9396988982050979
h264_encode,5.0,0.9917876712411652,0.9772482822813344
h264_encode,10.0,0.9953680628015747,0.9889540965170317
h264_encode,40.0,0.9988994977300175,0.9971902197918546
h264_encode,70.0,0.999228061422165,0.9988172316555521
jp2_decode,1.0,0.35828835290299055,0.14591741983416656
jp2_decode,2.0,0.5317537139114983,0.26234531659244603
jp2_decode,5.0,0.6866311786565199,0.4677122440335861
jp2_decode,10.0,0.7960566955795346,0.6260803516678597
jp2_decode,40.0,0.9304431491481426,0.8601688927430509
jp2_decode,70.0,0.9586305533301801,0.9126754935732644
jp2_encode,1.0,0.3970364317244417,0.17111831787012868
jp2_encode,2.0,0.5688777133800261,0.30142960947960373
jp2_encode,5.0,0.7198588302636583,0.5142786974084121
jp2_encode,10.0,0.8204840179326173,0.6691697367584397
jp2_encode,40.0,0.9396019726460761,0.8793929257119016
jp2_encode,70.0,0.9645829127187888,0.92443386060421
tpcc64,1.0,0.41262777660188643,0.16837059821413433
tpcc64,2.0,0.5827610412810679,0.30009351965219616
tpcc64,5.0,0.7355272804294711,0.5300489740178573
tpcc64,10.0,0.8299108637537536,0.6913850745756741
tpcc64,40.0,0.9427327421553817,0.8971434797891783
tpcc64,70.0,0.9674616714689989,0.9369218328548137
tpch17,1.0,0.341015142217801,0.14329898597268412
tpch17,2.0,0.5041437927333166,0.2583425554957052
tpch17,5.0,0.6828155756013599,0.47067721069832624
tpch17,10.0,0.7940533269889464,0.6371214638833494
tpch17,40.0,0.9300641189534239,0.8686780862916665
tpch17,70.0,0.9571370422772048,0.9203036159579348
tpch2,1.0,0.32445577550338983,0.12418942947309863
tpch2,2.0,0.4779831299881673,0.2273856461714227
tpch2,5.0,0.6585587639543939,0.4268218750520182
tpch2,10.0,0.769433276346609,0.591895947642854
tpch2,40.0,0.9191756330373754,0.8451568267192726
tpch2,70.0,0.952839685301193,0.9050113004263243
tpch6,1.0,0.6207636032444147,0.31472071978529065
tpch6,2.0,0.7524344256920505,0.492680073091396
tpch6,5.0,0.8632562185776446,0.7093339198800432
tpch6,10.0,0.9143238661368597,0.8289344610125037
tpch6,40.0,0.9761395996656238,0.9423051968606516
tpch6,70.0,0.9853417877372036,0.9718205179019296
wc_8443,1.0,0.37700683227195486,0.14547894034765638
wc_8443,2.0,0.5400908767964651,0.26207350612505687
wc_8443,5.0,0.7075363523380317,0.46626167970091065
wc_8443,10.0,0.8143022280842005,0.624369066109081
wc_8443,40.0,0.9407512008165636,0.8579221832039396
wc_8443,70.0,0.9644256856908412,0.9111920855728984
wc_map0,1.0,0.3771733419529936,0.14555281054192235
wc_map0,2.0,0.5401967617031846,0.26191718434931477
wc_map0,5.0,0.7077664556167768,0.4664290428695103
