workload,Channel,Benchmark_Types,1RFM-4tREFI,1RFM-2tREFI,1RFM-1tREFI,2RFM-1tREFI,4RFM-1tREFI
MIX68,1.0,HHLL (15),0.9855460243503483,0.9705650005390315,0.9411186507802691,0.8826568620370367,0.7534203512921279
MIX69,1.0,HHLL (15),0.9941038523430765,0.9859451571168325,0.9626327363961749,0.9164408296139968,0.7776473679851127
MIX7,1.0,HHHH (15),0.9752949737418369,0.9492767467196435,0.899457333070575,0.8031754507106061,0.5929364975631172
MIX70,1.0,HHLL (15),0.9845672319103212,0.9692270269679273,0.9386633592564531,0.8787738650994386,0.7395915705082922
MIX71,1.0,HHLL (15),0.9825472259584527,0.9677540890158894,0.9354344026006234,0.8726955764970784,0.7273970323103395
MIX72,1.0,HHLL (15),0.9819339816893038,0.9640391304621463,0.9293469267405667,0.8605453585630538,0.70602721815868
MIX73,1.0,HHLL (15),0.984244170701758,0.9700892616622762,0.9373428086689793,0.871478778247553,0.7216281291063031
MIX74,1.0,HHLL (15),0.9838765066934664,0.9677960257576821,0.9342903880569938,0.8680949499482765,0.7182051778298425
MIX75,1.0,MMLL (15),0.9877172279258088,0.9783782333177855,0.9598828982134793,0.9278713912324565,0.7893636020453854
MIX76,1.0,MMLL (15),0.9841735315383128,0.9668897647164876,0.9308398382785436,0.8608926298678534,0.6857316658583492
MIX77,1.0,MMLL (15),0.9830985684119298,0.9704264620066838,0.9388137645367288,0.868631353584108,0.7092079424476905
MIX78,1.0,MMLL (15),0.9805730603062662,0.9644240099871961,0.9657496126319108,0.8979578782705288,0.7865353382620671
MIX79,1.0,MMLL (15),0.9876067765008872,0.9751550880728511,0.9499953786195079,0.8993039284850554,0.7653723951416621
MIX8,1.0,HHHH (15),0.9742636658339269,0.9484912719476202,0.8963400966838269,0.7945140921778383,0.5858770032710059
MIX80,1.0,MMLL (15),0.9878904012312986,0.9773179198363114,0.9545408765354209,0.9106684457226873,0.7821912931781856
MIX81,1.0,MMLL (15),0.9821243511511704,0.9655370874534273,0.9295949705290643,0.8652686205998829,0.6908193125554285
MIX82,1.0,MMLL (15),0.9881904755186998,0.979139995041709,0.9578461022698629,0.9279682895227546,0.823859018827045
MIX83,1.0,MMLL (15),0.9797740984026287,0.9598571371684647,0.9209464117094123,0.8479024111888458,0.6563712496189826
MIX84,1.0,MMLL (15),0.9823546984438762,0.9646729874788346,0.9297264801301676,0.8659124554581027,0.6851439324982643
MIX85,1.0,MMLL (15),0.9833758863362709,0.9671430445673848,0.9355964746097053,0.8745693773110109,0.7256249002658628
MIX86,1.0,MMLL (15),0.9822300634190634,0.9740157587658527,0.9400571333792803,0.8922959695849111,0.7436395383629442
MIX87,1.0,MMLL (15),0.9931435409800613,0.9798041846059602,0.9482851626146539,0.9011678304978619,0.7968086423657018
MIX88,1.0,MMLL (15),0.9810396558289312,0.963449806448164,0.9260779468617447,0.85404720550163,0.6782205461735715
MIX89,1.0,MMLL (15),0.9825806474401731,0.9632133811872207,0.9408575440160651,0.8809214901340211,0.7105327260633769
MIX9,1.0,HHHH (15),0.9789652805653547,0.958404544788329,0.9175743133919494,0.8361949541614787,0.6523683004051188
HHHH (15),1.0,,0.9765723906334559,0.9526783133677107,0.9048958703025832,0.8125578675974763,0.6098670677259626
MMMM (15),1.0,,0.9793959206197802,0.9581189167458286,0.9156408045772837,0.832495044136276,0.6347106377053089
LLLL (15),1.0,,0.9935135943013064,0.986087846314613,0.9707592302926867,0.9404533994336416,0.8541199367029997
HHMM (15),1.0,,0.9761728809712307,0.9541197881526142,0.9089341689450614,0.8202735872986436,0.6221054381141232
HHLL (15),1.0,,0.9842405011003277,0.9698787565703909,0.9378885864521568,0.8774810617846228,0.7308710451703766
MMLL (15),1.0,,0.9843850514328487,0.9699398435085577,0.9418296660973963,0.8846845883453779,0.7335720181257668
All (90),1.0,,0.9823620751585991,0.965067613890857,0.9297122499452601,0.8601873069483439,0.692489014740958
