workload,Nrh,prac-level,Benchmark_Types,ABO-Only,BAT-RFM,TPRAC-S
MIX23,256.0,1.0,MMMM (15),1.0,0.922359303500717,0.820655434605109
MIX23,512.0,1.0,MMMM (15),1.0,0.9732083248043674,0.9101767840921468
MIX23,512.0,2.0,MMMM (15),1.0,0.9732083248043674,0.9101767840921468
MIX23,512.0,4.0,MMMM (15),1.0,0.9732083248043674,0.9101767840921468
MIX23,1024.0,1.0,MMMM (15),1.0,0.9957320827157303,0.9783231340189666
MIX23,2048.0,1.0,MMMM (15),1.0,0.9987558792650092,0.9908445291040416
MIX23,4096.0,1.0,MMMM (15),1.0,0.9987558792650092,0.9908445291040416
MIX24,256.0,1.0,MMMM (15),1.0001104604441267,0.9251816520495546,0.8384879699557576
MIX24,512.0,1.0,MMMM (15),1.0000241487038506,0.9758261065214034,0.9175599200038159
MIX24,512.0,2.0,MMMM (15),1.000028134537423,0.9758261065214034,0.9175599200038159
MIX24,512.0,4.0,MMMM (15),1.0000265804490647,0.9758261065214034,0.9175599200038159
MIX24,1024.0,1.0,MMMM (15),1.0,0.9985609501786994,0.9823070518809983
MIX24,2048.0,1.0,MMMM (15),1.0,0.998894986410031,0.9907031651669235
MIX24,4096.0,1.0,MMMM (15),1.0,0.998894986410031,0.9907031651669235
MIX25,256.0,1.0,MMMM (15),1.0000096246997234,0.929493870064501,
MIX25,512.0,1.0,MMMM (15),1.0,0.9743426757556222,
MIX25,512.0,2.0,MMMM (15),1.0,0.9743426757556222,0.9212828310504997
MIX25,512.0,4.0,MMMM (15),1.0,0.9743426757556222,0.9212828310504997
MIX25,1024.0,1.0,MMMM (15),1.0,0.9955182816961231,0.979554285279239
MIX25,2048.0,1.0,MMMM (15),1.0,0.9983879299423244,0.9898264347591196
MIX25,4096.0,1.0,MMMM (15),1.0,0.9983879299423244,0.9898264347591196
MIX26,256.0,1.0,MMMM (15),0.9999089456561454,0.9187724900909265,0.8237101659057798
MIX26,512.0,1.0,MMMM (15),1.0,0.9713761445188576,0.9106996629301696
MIX26,512.0,2.0,MMMM (15),1.0,0.9713761445188576,0.9106996629301696
MIX26,512.0,4.0,MMMM (15),1.0,0.9713761445188576,0.9106996629301696
MIX26,1024.0,1.0,MMMM (15),1.0,0.9955197274386889,0.9771298503486368
MIX26,2048.0,1.0,MMMM (15),1.0,0.9981969438559077,0.9889107481203087
MIX26,4096.0,1.0,MMMM (15),1.0,0.9981969438559077,0.9889107481203087
MIX27,256.0,1.0,MMMM (15),0.9993070016308524,0.9076990542468707,0.8249485549561336
MIX27,512.0,1.0,MMMM (15),1.0000986190481223,0.9632109977062797,0.9099202845461929
