workload,Channel,interface,Normalized_PRAC_WO_Mitigation,Normalized_PRAC_WO_Mitigation-ClosedCap4
462.libquantum,1.0,6400.0,0.9035086057236219,0.9752405135097364
462.libquantum,1.0,8000.0,0.8992567181279177,0.9785473359003558
462.libquantum,1.0,8800.0,0.9007566356310756,0.9767468342068639
462.libquantum,1.0,12800.0,0.8947447919922972,0.9763575856783548
462.libquantum,1.0,17600.0,0.8915495529667423,0.9751038426924826
462.libquantum,2.0,8000.0,0.926161854890491,0.9856824576189606
462.libquantum,2.0,8800.0,0.9272463477010446,0.985177932672585
462.libquantum,4.0,8000.0,0.9491255655997325,0.9927876597157844
462.libquantum,4.0,8800.0,0.9498650161096787,0.9920465986791197
462.libquantum,8.0,8000.0,0.9682474722127307,0.9928714304472208
462.libquantum,8.0,8800.0,0.9698681749581051,0.9921093730084137
462.libquantum,16.0,8000.0,0.9798667007619375,0.9939277511920542
462.libquantum,16.0,8800.0,0.9806203209147887,0.9936542727358411
464.h264ref,1.0,3200.0,0.9973661106166639,0.997540262758002
464.h264ref,1.0,4800.0,0.9971274499413058,0.997245664794116
464.h264ref,1.0,6400.0,0.9966961541824159,0.9968147834032464
464.h264ref,1.0,8000.0,0.9966722925757524,0.9967905232661409
464.h264ref,1.0,8800.0,0.9967700014757802,0.9968872817477725
464.h264ref,1.0,12800.0,0.9964233163964556,0.9966609286698335
464.h264ref,1.0,17600.0,0.9960178587062855,0.996137172173958
464.h264ref,2.0,8000.0,0.9982083419839809,0.9983275452134812
464.h264ref,2.0,8800.0,0.9972612213744058,0.9973793221838196
464.h264ref,4.0,8000.0,0.9985777302481982,0.9985777302481982
464.h264ref,4.0,8800.0,0.9986280368285161,0.9987465809939231
464.h264ref,8.0,8000.0,0.9985622999518937,0.9984425942297178
464.h264ref,8.0,8800.0,0.9988819120842499,0.9988819120842499
464.h264ref,16.0,8000.0,0.999398289681763,0.99951813860339
464.h264ref,16.0,8800.0,0.9991649660542057,0.9992837364566208
470.lbm,1.0,3200.0,0.9082758185868821,0.9105066437856392
470.lbm,1.0,4800.0,0.8793867740925794,0.881432206784063
470.lbm,1.0,6400.0,0.8672212040027941,0.8697460885241829
470.lbm,1.0,8000.0,0.8622724014656924,0.8653690863885583
470.lbm,1.0,8800.0,0.862468504970308,0.8651138805715891
470.lbm,1.0,12800.0,0.8581708180754395,0.860916977027622
470.lbm,1.0,17600.0,0.853892359143025,0.857090568268171
470.lbm,2.0,8000.0,0.8795362343824664,0.883872997007545
470.lbm,2.0,8800.0,0.8831925619533464,0.8877325876970095
470.lbm,4.0,8000.0,0.8836577554655587,0.8911164006584227
470.lbm,4.0,8800.0,0.8912890082911067,0.8989216092670427
470.lbm,8.0,8000.0,0.8892687624190819,0.8980888448189815
470.lbm,8.0,8800.0,0.8972743162502639,0.9068555760901209
470.lbm,16.0,8000.0,0.9092762295047511,0.9195445276394307
470.lbm,16.0,8800.0,0.917737834568888,0.9275285479080468
471.omnetpp,1.0,3200.0,0.9119829857752919,0.9127331581979659
471.omnetpp,1.0,4800.0,0.8831104358748951,0.8839509785551499
