,workload,Nrh,ABO-Only,BAT-RFM,Baseline,TPRAC-S
418,MIX79,256.0,47208027.29747501,51175398.420425005,,73238083.37560001
419,MIX79,512.0,47208027.29747501,48511772.87180001,47208027.29747501,59242234.883475006
420,MIX79,1024.0,47208027.29747501,47441844.91830001,,50021423.82365
421,MIX79,2048.0,47208027.29747501,47318484.095125005,,48571340.327025
422,MIX79,4096.0,47208027.29747501,47318484.095125005,,48571340.327025
423,MIX8,256.0,161007117.2577,,,
424,MIX8,512.0,160992380.53950003,174097072.42790002,160972807.51635,
425,MIX8,1024.0,160972807.51635,163240971.693875,,
426,MIX8,2048.0,160972807.51635,162057465.88492504,,165273032.64940003
427,MIX8,4096.0,160972807.51635,162057465.88492504,,165273032.64940003
428,MIX80,128.0,,31097228.021325003,,57740895.55745
429,MIX80,256.0,25157241.771975,26691941.176700003,,37568717.644325
430,MIX80,512.0,25157241.771975,25658769.230100006,25157241.771975,30994055.0723
431,MIX80,1024.0,25157241.771975,25294886.87145,,26556823.15325
432,MIX80,2048.0,25157241.771975,25243619.526875,,25874537.881000005
433,MIX80,4096.0,25157241.771975,25243619.526875,,25874537.881000005
434,MIX81,128.0,,53650248.40185001,,92540588.882425
435,MIX81,256.0,37252601.1694,41414194.914025,,57495094.875225
436,MIX81,512.0,37252601.1694,38583978.766150005,37252601.1694,46613867.376025
437,MIX81,1024.0,37252601.1694,37538765.04845,,39478684.151949994
438,MIX81,2048.0,37252601.1694,37330229.18902501,,38326937.648875006
439,MIX81,4096.0,37252601.1694,37330229.18902501,,38326937.648875006
440,MIX82,128.0,,57682785.72620001,,120360761.306125
441,MIX82,256.0,42878461.649625,46278309.534125,,69248472.1798
442,MIX82,512.0,42863469.9134,44253507.087375,42863469.9134,55688838.824225
443,MIX82,1024.0,42863469.9134,43439953.778525,,45783387.209649995
444,MIX82,2048.0,42863469.9134,43185659.985350005,,44515294.287999995
445,MIX82,4096.0,42863469.9134,43185659.985350005,,44515294.287999995
446,MIX83,128.0,,88779734.3512,,
447,MIX83,256.0,56788059.288925,64493737.2477,,89702075.96817501
448,MIX83,512.0,56762397.672125004,59637972.849675,56748366.85790001,71911119.35065
449,MIX83,1024.0,56748366.85790001,57422045.19577501,,60517212.06475
450,MIX83,2048.0,56748366.85790001,57335378.61557501,,58776403.178775
451,MIX83,4096.0,56748366.85790001,57335378.61557501,,58776403.178775
452,MIX84,128.0,,66055338.53570001,,
453,MIX84,256.0,46773328.802375,51963480.43635,,71156314.52790001
454,MIX84,512.0,46773328.802375,48507900.647675,46773328.802375,58116733.896800004
455,MIX84,1024.0,46773328.802375,47079283.972375005,,49469357.345025
456,MIX84,2048.0,46773328.802375,46899830.3804,,48073760.703325
457,MIX84,4096.0,46773328.802375,46899830.3804,,48073760.703325
458,MIX85,128.0,,55218317.599175006,,
459,MIX85,256.0,39401051.8932,43428948.7559,,60279910.9201
460,MIX85,512.0,39399143.2544,40726331.82790001,39399143.2544,49092100.702700004
461,MIX85,1024.0,39399143.2544,39673507.8772,,41696014.423375
462,MIX85,2048.0,39399143.2544,39523879.98770001,,40545680.42272501
463,MIX85,4096.0,39399143.2544,39523879.98770001,,40545680.42272501
464,MIX86,128.0,,32361191.701150004,,63767020.2141
465,MIX86,256.0,26722982.79585,30002792.168,,41367255.844025
466,MIX86,512.0,26755364.068350006,27266821.983650003,26736651.868450005,33946089.639375
467,MIX86,1024.0,26736651.868450005,27739303.305775,,28580268.82005
468,MIX86,2048.0,26736651.868450005,26951407.632700004,,28831844.235075004
469,MIX86,4096.0,26736651.868450005,26951407.632700004,,28831844.235075004
470,MIX87,128.0,,67375494.240425,,130043422.187875
471,MIX87,256.0,48824936.47732501,53143851.95775001,,77849266.98972501
472,MIX87,512.0,48826025.937050015,49914663.686325006,48823598.693725005,61715398.22167501
473,MIX87,1024.0,48823598.693725005,49303371.119475,,51716112.774500005
474,MIX87,2048.0,48823598.693725005,48770281.491624996,,49875830.79940001
475,MIX87,4096.0,48823598.693725005,48770281.491624996,,49875830.79940001
476,MIX88,128.0,,100175172.37525,,
477,MIX88,256.0,68449312.41945,75275397.58145,,
478,MIX88,512.0,68456549.0735,70715546.506175,68456549.0735,
479,MIX88,1024.0,68456549.0735,68768422.8982,,
480,MIX88,2048.0,68456549.0735,68602198.85585001,,70488991.47995001
481,MIX88,4096.0,68456549.0735,68602198.85585001,,70488991.47995001
482,MIX89,128.0,,40956205.703675,,81404458.355225
483,MIX89,256.0,32048749.2539,34314667.1629,,49760162.03740001
484,MIX89,512.0,32060038.7186,32791653.973050002,32054132.823750004,40297615.173375
485,MIX89,1024.0,32054132.823750004,32249496.509650003,,34018223.4082
486,MIX89,2048.0,32054132.823750004,32150064.2221,,33027254.101325
487,MIX89,4096.0,32054132.823750004,32150064.2221,,33027254.101325
488,MIX9,256.0,124497594.11842501,,,
489,MIX9,512.0,124556811.88955002,133174479.02107501,124540091.690675,
490,MIX9,1024.0,124525678.3587,125957768.814075,,
491,MIX9,2048.0,124540091.690675,125141651.82595,,127742246.13195002
492,MIX9,4096.0,124540091.690675,125141651.82595,,127742246.13195002
