,workload,Nrh,ABO-Only,BAT-RFM,Baseline,TPRAC-S
66,MIX2,2048.0,101417555.231,101866678.68055001,,103985417.98745002
67,MIX2,4096.0,101417555.231,101866678.68055001,,103985417.98745002
68,MIX20,256.0,70673291.7075,79586727.214125,,
69,MIX20,512.0,70664677.75250001,73564583.4904,70664677.75250001,
70,MIX20,1024.0,70664677.75250001,71104007.694375,,
71,MIX20,2048.0,70664677.75250001,70805281.93775001,,72536758.50424999
72,MIX20,4096.0,70664677.75250001,70805281.93775001,,72536758.50424999
73,MIX21,256.0,74418649.89787501,85049013.94142501,,
74,MIX21,512.0,74419039.168675,77423818.10877502,74418628.52537501,
75,MIX21,1024.0,74418628.52537501,75136346.79712498,,
76,MIX21,2048.0,74418628.52537501,74849871.22187501,,76487041.469775
77,MIX21,4096.0,74418628.52537501,74849871.22187501,,76487041.469775
78,MIX22,128.0,,74287793.826325,,
79,MIX22,256.0,49444694.29090001,55726571.46412501,,76730644.30995001
80,MIX22,512.0,49418705.66335001,51911232.512875,49458600.845850006,61878631.480275005
81,MIX22,1024.0,49466820.7019,49892055.34095001,,52382323.10145
82,MIX22,2048.0,49458600.845850006,49611158.64197501,,50869685.670125
83,MIX22,4096.0,49458600.845850006,49611158.64197501,,50869685.670125
84,MIX23,128.0,,79389599.13190001,,
85,MIX23,256.0,51540815.70792501,57540295.842125,,80542178.292375
86,MIX23,512.0,51540815.70792501,53404785.652600005,51540815.70792501,64645556.854650006
87,MIX23,1024.0,51540815.70792501,51854676.23960001,,54523488.744425
88,MIX23,2048.0,51540815.70792501,51700417.92622501,,52927589.981425
89,MIX23,4096.0,51540815.70792501,51700417.92622501,,52927589.981425
90,MIX24,128.0,,105812136.642775,,
91,MIX24,256.0,66040936.500350006,75134069.16422501,,105541465.49292502
92,MIX24,512.0,66007007.844675004,68167427.8018,66013519.9885,83707330.620275
93,MIX24,1024.0,66013519.9885,65351434.733275004,,69275373.6393
94,MIX24,2048.0,66013519.9885,65485230.90730001,,67382022.86595
95,MIX24,4096.0,66013519.9885,65485230.90730001,,67382022.86595
96,MIX25,128.0,,76788668.9103,,
97,MIX25,256.0,51104673.703075,57175945.299275,,
98,MIX25,512.0,51105532.46525,53151735.706575,51105532.46525,
99,MIX25,1024.0,51105532.46525,51445070.2988,,
100,MIX25,2048.0,51105532.46525,51251914.60180001,,52513929.14565001
101,MIX25,4096.0,51105532.46525,51251914.60180001,,52513929.14565001
102,MIX26,128.0,,88144691.028275,,
103,MIX26,256.0,58486725.4446,65676946.13795,,89805098.341775
104,MIX26,512.0,58488568.824275,60869960.3143,58488568.824275,73009878.93452501
105,MIX26,1024.0,58488568.824275,58831074.611200005,,61911269.811950006
106,MIX26,2048.0,58488568.824275,58585961.109000005,,60167170.93047501
107,MIX26,4096.0,58488568.824275,58585961.109000005,,60167170.93047501
108,MIX27,128.0,,92562135.520875,,
109,MIX27,256.0,57378505.302725,66118435.238000005,,87124773.401125
