workload,Channel,interface,PRAC_WO_Mitigation,Benchmark_Types
MIX31,1.0,6400.0,0.9881256645090524,LLLL (15)
MIX31,1.0,8000.0,0.9897357786256261,LLLL (15)
MIX31,1.0,8800.0,,LLLL (15)
MIX31,1.0,12800.0,0.9879576076047134,LLLL (15)
MIX31,1.0,17600.0,0.9861634758700284,LLLL (15)
MIX32,1.0,3200.0,0.9835661669398332,LLLL (15)
MIX32,1.0,4800.0,0.9815570033268053,LLLL (15)
MIX32,1.0,6400.0,0.9804278573564975,LLLL (15)
MIX32,1.0,8000.0,0.9804281698598502,LLLL (15)
MIX32,1.0,8800.0,0.9798688626966937,LLLL (15)
MIX32,1.0,12800.0,0.9787314372991873,LLLL (15)
MIX32,1.0,17600.0,0.9784335791242915,LLLL (15)
MIX33,1.0,3200.0,0.9796957348674326,LLLL (15)
MIX33,1.0,4800.0,0.9787843982224133,LLLL (15)
MIX33,1.0,6400.0,0.9777343484069367,LLLL (15)
MIX33,1.0,8000.0,0.978326589257067,LLLL (15)
MIX33,1.0,8800.0,0.978228008741501,LLLL (15)
MIX33,1.0,12800.0,0.9777314750545709,LLLL (15)
MIX33,1.0,17600.0,0.9773862370671771,LLLL (15)
MIX34,1.0,3200.0,0.9719373484434762,LLLL (15)
MIX34,1.0,4800.0,0.9696363155544321,LLLL (15)
MIX34,1.0,6400.0,0.9688495758189881,LLLL (15)
MIX34,1.0,8000.0,0.9678805949633538,LLLL (15)
MIX34,1.0,8800.0,0.9680501926595448,LLLL (15)
MIX34,1.0,12800.0,0.9672912994230038,LLLL (15)
MIX34,1.0,17600.0,0.9662767134026463,LLLL (15)
MIX35,1.0,3200.0,0.9864672777766743,LLLL (15)
MIX35,1.0,4800.0,0.9853757520922511,LLLL (15)
MIX35,1.0,6400.0,0.9852964959504856,LLLL (15)
MIX35,1.0,8000.0,0.9854394331139689,LLLL (15)
MIX35,1.0,8800.0,0.9850547454179001,LLLL (15)
MIX35,1.0,12800.0,0.9851838671700971,LLLL (15)
MIX35,1.0,17600.0,0.9844901027414403,LLLL (15)
MIX36,1.0,3200.0,0.9928981917858513,LLLL (15)
