workload,Channel,PRAC_WO_Mitigation,Benchmark_Types
MIX75,1.0,0.9299665753788825,MMLL (15)
MIX75,2.0,0.9493043188253174,MMLL (15)
MIX75,4.0,0.950238105559333,MMLL (15)
MIX75,8.0,0.9497530047079925,MMLL (15)
MIX75,16.0,0.9673380562910612,MMLL (15)
MIX76,1.0,0.9289715785337859,MMLL (15)
MIX76,2.0,0.9471752059172726,MMLL (15)
MIX76,4.0,0.9671398140219521,MMLL (15)
MIX76,8.0,0.9758126376133558,MMLL (15)
MIX76,16.0,0.9789127977037724,MMLL (15)
MIX77,1.0,0.9385994385856773,MMLL (15)
MIX77,2.0,0.9566518567025787,MMLL (15)
MIX77,4.0,0.9700746195215599,MMLL (15)
MIX77,8.0,0.9794056187135891,MMLL (15)
MIX77,16.0,0.9837636025311636,MMLL (15)
MIX78,1.0,0.9370784915612331,MMLL (15)
MIX78,2.0,0.9549410985520482,MMLL (15)
MIX78,4.0,0.960733690338354,MMLL (15)
MIX78,8.0,0.9712807508160378,MMLL (15)
MIX78,16.0,0.9728330909568881,MMLL (15)
MIX79,1.0,0.9412414499083557,MMLL (15)
MIX79,2.0,0.9538677732925609,MMLL (15)
MIX79,4.0,0.9620252107476227,MMLL (15)
MIX79,8.0,0.970323988163055,MMLL (15)
MIX79,16.0,0.9792869612235572,MMLL (15)
MIX8,1.0,0.8501997384012824,HHHH (15)
MIX8,2.0,0.8358341636182481,HHHH (15)
MIX8,4.0,0.85175988531288,HHHH (15)
MIX8,8.0,0.8686791066513494,HHHH (15)
MIX8,16.0,0.8772554592395104,HHHH (15)
MIX80,1.0,0.9471649516561613,MMLL (15)
MIX80,2.0,0.9605460810122309,MMLL (15)
MIX80,4.0,0.9698116128171117,MMLL (15)
MIX80,8.0,0.9763238587565523,MMLL (15)
MIX80,16.0,0.9816671146982843,MMLL (15)
MIX81,1.0,0.9189952714900069,MMLL (15)
MIX81,2.0,0.9353301819994564,MMLL (15)
MIX81,4.0,0.9586387913335004,MMLL (15)
MIX81,8.0,0.970423805880946,MMLL (15)
MIX81,16.0,0.9772936568880572,MMLL (15)
MIX82,1.0,0.9421092469671536,MMLL (15)
MIX82,2.0,0.9559439406024092,MMLL (15)
MIX82,4.0,0.952166597250887,MMLL (15)
MIX82,8.0,0.9643783036006152,MMLL (15)
MIX82,16.0,0.979237999098994,MMLL (15)
MIX83,1.0,0.8802862322925459,MMLL (15)
MIX83,2.0,0.903701989561024,MMLL (15)
MIX83,4.0,0.9177899114781113,MMLL (15)
MIX83,8.0,0.9361070620287782,MMLL (15)
MIX83,16.0,0.9557571248114048,MMLL (15)
MIX84,1.0,0.8860820795964932,MMLL (15)
MIX84,2.0,0.9085717375165757,MMLL (15)
MIX84,4.0,0.9239476361700892,MMLL (15)
MIX84,8.0,0.9412412953767663,MMLL (15)
MIX84,16.0,0.9555557836454688,MMLL (15)
MIX85,1.0,0.9121372229081691,MMLL (15)
MIX85,2.0,0.9279746965763928,MMLL (15)
MIX85,4.0,0.9420265207670309,MMLL (15)
MIX85,8.0,0.9559135348091881,MMLL (15)
MIX85,16.0,0.9693141126037972,MMLL (15)
MIX86,1.0,0.9299753966035895,MMLL (15)
MIX86,2.0,0.9631743835562994,MMLL (15)
MIX86,4.0,0.965490526119017,MMLL (15)
MIX86,8.0,0.9714742961642752,MMLL (15)
MIX86,16.0,0.9839997083761335,MMLL (15)
MIX87,1.0,0.9440920460361916,MMLL (15)
MIX87,2.0,0.9619096854612825,MMLL (15)
MIX87,4.0,0.962822147845934,MMLL (15)
MIX87,8.0,0.9666048579527462,MMLL (15)
MIX87,16.0,0.9794184952990654,MMLL (15)
MIX88,1.0,0.9179050993252152,MMLL (15)
MIX88,2.0,0.9438244036510844,MMLL (15)
MIX88,4.0,0.9650473442034944,MMLL (15)
MIX88,8.0,0.9749246231998833,MMLL (15)
MIX88,16.0,0.9821850903853644,MMLL (15)
MIX89,1.0,0.9255236487596279,MMLL (15)
MIX89,2.0,0.9390065039311427,MMLL (15)
MIX89,4.0,0.9496609401833896,MMLL (15)
MIX89,8.0,0.9648122129588275,MMLL (15)
MIX89,16.0,0.9793769395594908,MMLL (15)
MIX9,1.0,0.8565773060972869,HHHH (15)
MIX9,2.0,0.8377646240555793,HHHH (15)
MIX9,4.0,0.854823765075608,HHHH (15)
MIX9,8.0,0.8637135186470715,HHHH (15)
MIX9,16.0,0.8790664968362427,HHHH (15)
HHHH (15),1.0,0.8624369097675618,
MMMM (15),1.0,0.8801899034409377,
LLLL (15),1.0,0.9780276732970619,
HHMM (15),1.0,0.8621865103188845,
HHLL (15),1.0,0.9057616893268206,
MMLL (15),1.0,0.9251377978388186,
HHHH (15),2.0,0.8383637939211787,
MMMM (15),2.0,0.9001281972254693,
