workload,Channel,interface,mitigation,RD_REQs,WR_REQs,WR_ratio
500.perlbench,2.0,8800.0,Baseline,859959.0,52943.0,0.05799417681196886
462.libquantum,1.0,17600.0,Baseline,13190095.0,2097751.0,0.13721691074072828
ycsb_aserver,1.0,6400.0,Baseline,1403657.0,332582.0,0.19155312143086292
450.soplex,16.0,8800.0,Baseline,8930306.0,4465167.0,0.3333340300861343
ycsb_eserver,2.0,8800.0,Baseline,1405847.0,86206.0,0.057776767983442945
519.lbm,1.0,8800.0,Baseline,12626141.0,9445015.0,0.4279347669872842
507.cactuBSSN,1.0,8800.0,Baseline,1609092.0,341983.0,0.17527926912086927
456.hmmer,16.0,8800.0,Baseline,371231.0,264766.0,0.4163007058209394
544.nab,4.0,8800.0,Baseline,131968.0,3701.0,0.027279629097288254
459.GemsFDTD,1.0,12800.0,Baseline,12223573.0,4463118.0,0.2674657306232853
549.fotonik3d,1.0,3200.0,Baseline,12740001.0,4083583.0,0.24272967044358681
ycsb_aserver,1.0,17600.0,Baseline,1403658.0,332583.0,0.19155347673508458
444.namd,2.0,8800.0,Baseline,21246.0,255.0,0.011859913492395702
507.cactuBSSN,16.0,8800.0,Baseline,1609092.0,341983.0,0.17527926912086927
459.GemsFDTD,16.0,8800.0,Baseline,12223573.0,4463118.0,0.2674657306232853
grep_map0,1.0,3200.0,Baseline,1830037.0,1761170.0,0.49041171951380136
519.lbm,1.0,6400.0,Baseline,12626141.0,9445015.0,0.4279347669872842
541.leela,16.0,8800.0,Baseline,6778.0,2.0,0.0002949852507374631
526.blender,1.0,3200.0,Baseline,116503.0,196.0,0.0016795345290019623
450.soplex,4.0,8800.0,Baseline,8930306.0,4465167.0,0.3333340300861343
544.nab,16.0,8800.0,Baseline,131968.0,3701.0,0.027279629097288254
tpcc64,2.0,8800.0,Baseline,1802978.0,430493.0,0.19274617848183387
520.omnetpp,1.0,6400.0,Baseline,4555310.0,2169681.0,0.3226295767533369
ycsb_aserver,2.0,8800.0,Baseline,1403658.0,332583.0,0.19155347673508458
wc_8443,1.0,17600.0,Baseline,2768471.0,2670936.0,0.49103440871403814
541.leela,8.0,8800.0,Baseline,6778.0,2.0,0.0002949852507374631
510.parest,8.0,8800.0,Baseline,8614698.0,131156.0,0.014996362848042056
447.dealII,16.0,8800.0,Baseline,21604.0,504.0,0.022797177492310475
