workload,Channel,Benchmark_Types,1RFM-4tREFI,1RFM-2tREFI,1RFM-1tREFI,2RFM-1tREFI,4RFM-1tREFI
MIX68,1.0,HHLL (15),0.9821969330101054,0.9639563028377167,0.9277909271907525,0.8567442951490957,0.6999108053727329
MIX69,1.0,HHLL (15),0.9899873072874114,0.9765373137266309,0.9443348389238215,0.8782797041696697,0.7016107955781598
MIX7,1.0,HHHH (15),0.9699220829612168,0.9390077526342081,0.8777067241181951,0.7558418646724094,0.5123766432429292
MIX70,1.0,HHLL (15),0.981250249435268,0.9629153469357945,0.925436865280983,0.8506519176176259,0.6863336752821004
MIX71,1.0,HHLL (15),0.9812638528422604,0.9609859230868412,0.9204575493670413,0.8428910764756906,0.6697942909389446
MIX72,1.0,HHLL (15),0.9781707375902141,0.9563874958564681,0.9131507830370207,0.8272612556953503,0.6433689576041168
MIX73,1.0,HHLL (15),0.9802581074913278,0.9541148457509907,0.9155354007550679,0.8337294648066603,0.6490421371454018
MIX74,1.0,HHLL (15),0.9806868290907685,0.9600497092015357,0.9202918120742568,0.8373273560938497,0.6602594136615536
MIX75,1.0,MMLL (15),0.9810924765109382,0.9683746380216843,0.9389565297028024,0.8910093693073345,0.7385683780520959
MIX76,1.0,MMLL (15),0.9797071684555455,0.9592699616173346,0.9175103908107562,0.8312666789210215,0.6251321747066393
MIX77,1.0,MMLL (15),0.9814202303586917,0.9620395048500944,0.9272021766464831,0.8431954140103567,0.6541307152281614
MIX78,1.0,MMLL (15),0.9734338814750729,0.9737929107005157,0.9447171953756309,0.893998176544669,0.7369636568204291
MIX79,1.0,MMLL (15),0.9852673725512395,0.9693474383601688,0.9380640446164853,0.8731065997516668,0.7139089160780913
MIX8,1.0,HHHH (15),0.9689137580869568,0.9376397295170208,0.8755999440728538,0.7515377277331218,0.5083136566283124
MIX80,1.0,MMLL (15),0.9854910975019755,0.9715659879448854,0.9421467897875229,0.8833971253847814,0.7274773559064245
MIX81,1.0,MMLL (15),0.9792115024172764,0.9563423401489634,0.9156997332397522,0.8339200577764416,0.6270999787361483
MIX82,1.0,MMLL (15),0.990433015700012,0.9785191800837336,0.9563082270187164,0.9076832682169975,0.7937085066069361
MIX83,1.0,MMLL (15),0.9732913624926789,0.9485770399116934,0.8976839007156973,0.7987293264733988,0.5748327342974603
MIX84,1.0,MMLL (15),0.9762272362774311,0.9530312662714138,0.9046470088957007,0.8089365977046071,0.5947272639591951
MIX85,1.0,MMLL (15),0.9797690428916744,0.9594148624881652,0.9185099147971351,0.8389973769036886,0.6624055584026348
MIX86,1.0,MMLL (15),0.9922613477514143,0.9707166949367939,0.9347056487753516,0.8699482301425961,0.688522911570121
MIX87,1.0,MMLL (15),0.9862284158396526,0.9727589549863052,0.9403327336674538,0.8782206669967498,0.7444508935601355
MIX88,1.0,MMLL (15),0.9792037600337351,0.956525551636646,0.9107896178378533,0.8251062554777647,0.6257055693899826
MIX89,1.0,MMLL (15),0.97064098807683,0.9495640961201258,0.9178577021894503,0.830626706910153,0.6493843728322714
MIX9,1.0,HHHH (15),0.9788425923431288,0.951495059991975,0.8942919041573107,0.7929639133015433,0.5714015535997142
HHHH (15),1.0,,0.9700095348041364,0.9415962940808182,0.8828230850163987,0.766723417097129,0.5291328054146466
MMMM (15),1.0,,0.9739738338314373,0.9485752728471744,0.8973969254263723,0.7930006450110773,0.5631574757445529
