workload,Channel,interface,1RFM-1tREFI,1RFM-2tREFI,1RFM-4tREFI,2RFM-1tREFI,4RFM-1tREFI
471.omnetpp,1.0,8000.0,0.9251654432304149,0.9630080352491753,0.9815644567634608,0.8456078092809982,0.6488365025923755
473.astar,1.0,8000.0,0.8900001380758548,0.9452558776666552,0.9723594767182172,0.7816705348468933,0.5455011746083579
481.wrf,1.0,8000.0,0.9977654310128704,0.998962980200263,0.9994562648495282,0.9943508507050149,0.9865826602095926
482.sphinx3,1.0,8000.0,0.8866050903085296,0.943663938462754,0.9717695804486874,0.7727790691879687,0.5337126941648769
483.xalancbmk,1.0,8000.0,0.9059755148055783,0.9535424502186117,0.9769800757964388,0.8142890761009983,0.5872732381119443
500.perlbench,1.0,8000.0,0.8963087241660057,0.9487700920790517,0.974311477060798,0.7892315118129641,0.5634810506762751
502.gcc,1.0,8000.0,0.9603113654128087,0.9810683302859147,0.9905081309466585,0.9181091239570094,0.7934926577473553
505.mcf,1.0,8000.0,0.9405053025105091,0.9716734300436871,0.9867101057783028,0.8754169235468051,0.6986620375374212
507.cactuBSSN,1.0,8000.0,0.9780989450591715,0.989375650465627,0.9948146300056407,0.9419512977427288,0.8665198916858695
508.namd,1.0,8000.0,0.9466029538742483,0.9757655024423535,0.9883600935535013,0.900700889479922,0.7679049033430169
510.parest,1.0,8000.0,0.8927852498001013,0.9481078130546408,0.9747265940698953,0.7968297893161054,0.5678127350740927
511.povray,1.0,8000.0,0.9994877847977448,0.9997345724909995,0.9998548376245255,0.998479239808358,0.9963922408591956
519.lbm,1.0,8000.0,0.8802309416861204,0.9400212620370176,0.9701568693294335,0.7611071760318605,0.5209759770612152
520.omnetpp,1.0,8000.0,0.8938544097136107,0.9471820457807516,0.9736323469402551,0.7894124048505211,0.5529757489203515
523.xalancbmk,1.0,8000.0,0.9392896087228285,0.9689061864879746,0.9851202895111489,0.8748678342036136,0.710425589435091
525.x264,1.0,8000.0,0.970776323188708,0.9854484251162251,0.9930574012905748,0.938357444984977,0.8396742577385155
526.blender,1.0,8000.0,0.9897925053252858,0.9950355411771759,0.9979714999338672,0.9790667884151746,0.9407151825197427
